date,open,high,low,close,volume,marketcap,range,today,dlag1,dlag2,dlag3,dlag4,dlag5,todaydir
2017-12-31,2376.9600,2627.9500,2350.0300,2533.0100,1300820000,40134900000.0000,6.5651,0.0588,-0.1394,0.0831,-0.1117,-0.0706,0.0522,Up
2017-12-30,2791.5500,2791.5500,2329.4700,2392.4100,1257760000,47129800000.0000,-14.2981,-0.1394,0.0831,-0.1117,-0.0706,0.0522,0.0178,Down
2017-12-29,2587.3000,2922.4100,2389.0400,2779.9500,2479420000,43677000000.0000,7.4460,0.0831,-0.1117,-0.0706,0.0522,0.0178,-0.1087,Up
2017-12-28,2888.6400,2896.7800,2481.3000,2566.6400,3221300000,48758700000.0000,-11.1471,-0.1117,-0.0706,0.0522,0.0178,-0.1087,0.2078,Down
2017-12-27,3108.3200,3108.3200,2771.0500,2889.5200,1406450000,52461200000.0000,-7.0392,-0.0706,0.0522,0.0178,-0.1087,0.2078,-0.1746,Down
2017-12-26,2947.7400,3112.6400,2915.8000,3108.8900,1544430000,49745700000.0000,5.4669,0.0522,0.0178,-0.1087,0.2078,-0.1746,-0.1672,Up
2017-12-25,2929.3500,3099.6200,2755.6000,2954.6900,1355440000,49430800000.0000,0.8650,0.0178,-0.1087,0.2078,-0.1746,-0.1672,0.3982,Up
2017-12-24,3260.5500,3260.5500,2573.4400,2903.1200,1712160000,55013200000.0000,-10.9623,-0.1087,0.2078,-0.1746,-0.1672,0.3982,0.2774,Down
2017-12-23,2746.9500,3479.7100,2684.8200,3257.0800,2843310000,46342000000.0000,18.5708,0.2078,-0.1746,-0.1672,0.3982,0.2774,0.1792,Up
2017-12-22,3324.0000,3369.5500,1938.3600,2696.6900,3877770000,56071800000.0000,-18.8721,-0.1746,-0.1672,0.3982,0.2774,0.1792,0.0339,Down
2017-12-21,3909.0000,3909.0000,3038.0100,3267.1700,3664330000,65933700000.0000,-16.4193,-0.1672,0.3982,0.2774,0.1792,0.0339,-0.0075,Down
2017-12-20,2825.0300,4355.6200,2825.0300,3923.0700,11889600000,47644600000.0000,38.8683,0.3982,0.2774,0.1792,0.0339,-0.0075,-0.0767,Up
2017-12-19,2199.0600,2918.9300,2160.9200,2805.8900,3913340000,37083300000.0000,27.5950,0.2774,0.1792,0.0339,-0.0075,-0.0767,0.2230,Up
2017-12-18,1869.2100,2353.6400,1799.1200,2196.6400,2538650000,31516900000.0000,17.5170,0.1792,0.0339,-0.0075,-0.0767,0.2230,-0.0046,Up
2017-12-17,1812.3300,1939.9300,1806.6500,1862.8800,1020590000,30554500000.0000,2.7892,0.0339,-0.0075,-0.0767,0.2230,-0.0046,0.1346,Up
2017-12-16,1824.8500,1890.0600,1769.5000,1801.8800,971255000,30762600000.0000,-1.2587,-0.0075,-0.0767,0.2230,-0.0046,0.1346,0.0758,Down
2017-12-15,1974.6600,1974.6600,1678.0600,1815.4300,1457230000,33284800000.0000,-8.0637,-0.0767,0.2230,-0.0046,0.1346,0.0758,-0.0617,Down
2017-12-14,1600.6700,2080.4100,1593.1500,1966.1400,2717410000,26977700000.0000,22.8323,0.2230,-0.0046,0.1346,0.0758,-0.0617,-0.0369,Up
