date,open,high,low,close,volume,marketcap,range,today,dlag1,dlag2,dlag3,dlag4,dlag5,todaydir
2017-12-31,250.1200,267.8800,249.0600,261.7200,78952100,4186100000.0000,4.6378,0.0406,-0.1036,-0.0132,-0.1055,0.0345,-0.0066,Up
2017-12-30,281.1200,281.6200,248.5700,251.5100,96001300,4704380000.0000,-10.5329,-0.1036,-0.0132,-0.1055,0.0345,-0.0066,0.0135,Down
2017-12-29,285.7700,291.3000,267.7400,280.5800,114615000,4781710000.0000,-1.8161,-0.0132,-0.1055,0.0345,-0.0066,0.0135,-0.0877,Down
2017-12-28,318.7800,318.7800,274.2900,284.3400,134169000,5333490000.0000,-10.8037,-0.1055,0.0345,-0.0066,0.0135,-0.0877,0.0943,Down
2017-12-27,307.5900,330.9700,300.9300,317.8800,135077000,5145590000.0000,3.3454,0.0345,-0.0066,0.0135,-0.0877,0.0943,-0.2484,Up
2017-12-26,305.8300,316.2800,299.0300,307.2900,110025000,5115710000.0000,0.4774,-0.0066,0.0135,-0.0877,0.0943,-0.2484,-0.1029,Down
2017-12-25,307.4900,312.0000,295.2700,309.3300,104619000,5142770000.0000,0.5984,0.0135,-0.0877,0.0943,-0.2484,-0.1029,0.2767,Up
2017-12-24,334.5500,334.5500,289.7700,305.2200,144898000,5594770000.0000,-8.7670,-0.0877,0.0943,-0.2484,-0.1029,0.2767,0.1116,Down
2017-12-23,308.7600,354.8900,306.0000,334.5600,217778000,5162850000.0000,8.3560,0.0943,-0.2484,-0.1029,0.2767,0.1116,0.0634,Up
2017-12-22,416.4400,416.7500,259.8800,305.7300,313313000,6962700000.0000,-26.5849,-0.2484,-0.1029,0.2767,0.1116,0.0634,0.0138,Down
2017-12-21,449.7500,460.8700,369.1700,406.7700,352178000,7518780000.0000,-9.5564,-0.1029,0.2767,0.1116,0.0634,0.0138,-0.0048,Down
2017-12-20,354.3800,488.5700,348.5600,453.4500,983169000,5923720000.0000,27.9559,0.2767,0.1116,0.0634,0.0138,-0.0048,-0.0603,Up
2017-12-19,319.8100,367.3300,316.0700,355.1800,413363000,5345270000.0000,11.0597,0.1116,0.0634,0.0138,-0.0048,-0.0603,0.1676,Up
2017-12-18,300.0000,332.5600,281.7000,319.5300,313797000,5013620000.0000,6.5100,0.0634,0.0138,-0.0048,-0.0603,0.1676,-0.0145,Up
2017-12-17,297.6100,306.5800,294.5000,300.4900,120807000,4973110000.0000,0.9677,0.0138,-0.0048,-0.0603,0.1676,-0.0145,0.0825,Up
2017-12-16,297.0600,313.0000,292.1400,296.4000,136415000,4963500000.0000,-0.2222,-0.0048,-0.0603,0.1676,-0.0145,0.0825,0.1118,Down
2017-12-15,316.8700,316.8700,277.8600,297.8400,175999000,5293820000.0000,-6.0056,-0.0603,0.1676,-0.0145,0.0825,0.1118,-0.0585,Down
2017-12-14,271.4300,352.5500,270.4500,316.9500,467875000,4534150000.0000,16.7704,0.1676,-0.0145,0.0825,0.1118,-0.0585,-0.0692,Up
2017-12-13,276.1100,285.0600,254.1000,271.4500,221863000,4611860000.0000,-1.6877,-0.0145,0.0825,0.1118,-0.0585,-0.0692,0.0378,Down
2017-12-12,254.3500,294.1900,251.8700,275.4400,205849000,4247980000.0000,8.2917,0.0825,0.1118,-0.0585,-0.0692,0.0378,-0.1009,Up
2017-12-11,229.3300,288.6800,229.1900,254.4500,265127000,3829550000.0000,10.9536,0.1118,-0.0585,-0.0692,0.0378,-0.1009,-0.0814,Up
2017-12-10,244.9700,245.9900,195.8700,228.8700,140891000,4090460000.0000,-6.5722,-0.0585,-0.0692,0.0378,-0.1009,-0.0814,-0.0721,Down
2017-12-09,260.8400,263.1000,230.1000,243.1000,105017000,4354930000.0000,-6.8011,-0.0692,0.0378,-0.1009,-0.0814,-0.0721,0.0241,Down
2017-12-08,253.7100,278.2600,248.0800,261.1600,178502000,4235360000.0000,2.9364,0.0378,-0.1009,-0.0814,-0.0721,0.0241,0.0722,Up
2017-12-07,279.0300,279.7600,250.2300,251.6400,137885000,4657540000.0000,-9.8161,-0.1009,-0.0814,-0.0721,0.0241,0.0722,-0.0403,Down
2017-12-06,305.6600,305.9300,270.9100,279.8900,156602000,5101520000.0000,-8.4309,-0.0814,-0.0721,0.0241,0.0722,-0.0403,0.0230,Down
2017-12-05,329.4700,329.4700,303.1800,304.6900,113206000,5498370000.0000,-7.5212,-0.0721,0.0241,0.0722,-0.0403,0.0230,0.0312,Down
2017-12-04,322.0100,339.8300,316.3400,328.3800,130453000,5373320000.0000,1.9782,0.0241,0.0722,-0.0403,0.0230,0.0312,-0.1042,Up
2017-12-03,298.8400,347.7800,294.4400,320.6600,252844000,4986080000.0000,7.3016,0.0722,-0.0403,0.0230,0.0312,-0.1042,-0.0820,Up
2017-12-02,311.5100,315.0500,295.8800,299.0700,88196700,5196890000.0000,-3.9935,-0.0403,0.0230,0.0312,-0.1042,-0.0820,-0.0206,Down
2017-12-01,304.3400,315.7500,288.1400,311.6400,134598000,5076660000.0000,2.3986,0.0230,0.0312,-0.1042,-0.0820,-0.0206,0.0302,Up
2017-11-30,294.3300,323.5600,269.0300,304.6300,151331000,4909140000.0000,3.4995,0.0312,-0.1042,-0.0820,-0.0206,0.0302,-0.0968,Up
2017-11-29,329.4000,360.7500,287.7300,295.4100,252313000,5493510000.0000,-10.3188,-0.1042,-0.0820,-0.0206,0.0302,-0.0968,0.3427,Down
2017-11-28,359.3600,360.1200,325.5600,329.7800,101004000,5992370000.0000,-8.2313,-0.0820,-0.0206,0.0302,-0.0968,0.3427,0.2147,Down
2017-11-27,370.1800,387.8800,353.6700,359.2500,129160000,6172140000.0000,-2.9526,-0.0206,0.0302,-0.0968,0.3427,0.2147,-0.0954,Down
2017-11-26,355.7200,366.7900,334.7400,366.7900,141228000,5930460000.0000,3.1120,0.0302,-0.0968,0.3427,0.2147,-0.0954,0.1305,Up
