date,open,high,low,close,volume,marketcap,range,today,dlag1,dlag2,dlag3,dlag4,dlag5,todaydir
2017-12-31,12897.7000,14377.4000,12755.6000,14156.4000,12136300000,216326000000,9.7591,0.0930,-0.1163,0.0034,-0.0778,-0.0162,0.1478,Up
2017-12-30,14681.9000,14681.9000,12350.1000,12952.2000,14452600000,246224000000,-11.7812,-0.1163,0.0034,-0.0778,-0.0162,0.1478,0.0072,Down
2017-12-29,14695.8000,15279.0000,14307.0000,14656.2000,13025500000,246428000000,-0.2695,0.0034,-0.0778,-0.0162,0.1478,0.0072,-0.0526,Up
2017-12-28,15864.1000,15888.4000,13937.3000,14606.5000,12336500000,265988000000,-7.9273,-0.0778,-0.0162,0.1478,0.0072,-0.0526,0.0627,Down
2017-12-27,16163.5000,16930.9000,15114.3000,15838.5000,12487600000,270976000000,-2.0107,-0.0162,0.1478,0.0072,-0.0526,0.0627,-0.1247,Down
2017-12-26,14036.6000,16461.2000,14028.9000,16099.8000,13454300000,235294000000,14.6987,0.1478,0.0072,-0.0526,0.0627,-0.1247,-0.0494,Up
2017-12-25,13995.9000,14593.0000,13448.9000,14026.6000,10664700000,234590000000,0.2193,0.0072,-0.0526,0.0627,-0.1247,-0.0494,-0.0648,Up
2017-12-24,14608.2000,14626.0000,12747.7000,13925.8000,11572300000,244824000000,-4.6713,-0.0526,0.0627,-0.1247,-0.0494,-0.0648,-0.0700,Down
2017-12-23,13948.7000,15603.2000,13828.8000,14699.2000,13086000000,233748000000,5.3804,0.0627,-0.1247,-0.0494,-0.0648,-0.0700,-0.0014,Up
2017-12-22,15898.0000,15943.4000,11833.0000,13831.8000,22198000000,266381000000,-12.9966,-0.1247,-0.0494,-0.0648,-0.0700,-0.0014,-0.0183,Down
2017-12-21,16642.4000,17567.7000,15342.7000,15802.9000,16516600000,278827000000,-5.0443,-0.0494,-0.0648,-0.0700,-0.0014,-0.0183,0.1011,Down
2017-12-20,17760.3000,17934.7000,16077.7000,16624.6000,22149700000,297526000000,-6.3946,-0.0648,-0.0700,-0.0014,-0.0183,0.1011,0.0690,Down
2017-12-19,19118.3000,19177.8000,17275.4000,17776.7000,16894500000,320242000000,-7.0174,-0.0700,-0.0014,-0.0183,0.1011,0.0690,0.0095,Down
2017-12-18,19106.4000,19371.0000,18355.9000,19114.2000,14839500000,320000000000,0.0408,-0.0014,-0.0183,0.1011,0.0690,0.0095,-0.0578,Down
2017-12-17,19475.8000,20089.0000,18974.1000,19140.8000,13314600000,326141000000,-1.7201,-0.0183,0.1011,0.0690,0.0095,-0.0578,0.0283,Down
2017-12-16,17760.3000,19716.7000,17515.3000,19497.4000,12740600000,297376000000,9.7808,0.1011,0.0690,0.0095,-0.0578,0.0283,0.0958,Up
2017-12-15,16601.3000,18154.1000,16601.3000,17706.9000,14310000000,277936000000,6.6597,0.0690,0.0095,-0.0578,0.0283,0.0958,0.0183,Up
2017-12-14,16384.6000,17085.8000,16185.9000,16564.0000,13777400000,274269000000,1.0949,0.0095,-0.0578,0.0283,0.0958,0.0183,-0.0840,Up
2017-12-13,17500.0000,17653.1000,16039.7000,16408.2000,12976900000,292900000000,-6.2389,-0.0578,0.0283,0.0958,0.0183,-0.0840,-0.0743,Down
2017-12-12,16919.8000,17781.8000,16571.6000,17415.4000,14603800000,283155000000,2.9291,0.0283,0.0958,0.0183,-0.0840,-0.0743,0.2525,Up
2017-12-11,15427.4000,17513.9000,15404.8000,16936.8000,12153900000,258147000000,9.7839,0.0958,0.0183,-0.0840,-0.0743,0.2525,0.1993,Up
