date,open,high,low,close,volume,marketcap,range,today,dlag1,dlag2,dlag3,dlag4,dlag5,todaydir
2017-12-31,380.7100,431.3800,377.4600,418.9600,21278700,2355660000,10.0470,0.0895,-0.1700,0.1312,-0.0285,0.0596,0.8084,Up
2017-12-30,461.9400,462.0600,369.1400,384.5600,26618900,2857050000,-16.7511,-0.1700,0.1312,-0.0285,0.0596,0.8084,-0.0895,Down
2017-12-29,413.5300,470.8600,407.8100,463.3100,41366100,2556520000,12.0378,0.1312,-0.0285,0.0596,0.8084,-0.0895,-0.1625,Up
2017-12-28,420.5300,479.3000,372.9400,409.5700,60271900,2533780000,-2.6062,-0.0285,0.0596,0.8084,-0.0895,-0.1625,-0.0044,Down
2017-12-27,397.4300,476.4000,342.2200,421.6000,65798100,2393430000,6.0816,0.0596,0.8084,-0.0895,-0.1625,-0.0044,-0.1491,Up
2017-12-26,219.8700,427.1100,216.6600,397.8700,89649200,1323500000,80.9569,0.8084,-0.0895,-0.1625,-0.0044,-0.1491,-0.0613,Up
2017-12-25,244.1600,244.1600,216.1100,220.0100,18920000,1468910000,-9.8911,-0.0895,-0.1625,-0.0044,-0.1491,-0.0613,-0.0636,Down
2017-12-24,291.7200,291.7200,224.0900,241.6300,14577700,1708250000,-17.1706,-0.1625,-0.0044,-0.1491,-0.0613,-0.0636,-0.0991,Down
2017-12-23,292.5100,314.1500,286.9500,288.5100,15772600,1712400000,-1.3675,-0.0044,-0.1491,-0.0613,-0.0636,-0.0991,0.0054,Down
2017-12-22,341.7500,344.7700,244.2300,289.7900,22788300,1999910000,-15.2041,-0.1491,-0.0613,-0.0636,-0.0991,0.0054,-0.0651,Down
2017-12-21,363.2600,381.9300,330.4100,340.5500,19732800,1745220000,-6.2517,-0.0613,-0.0636,-0.0991,0.0054,-0.0651,0.1550,Down
2017-12-20,387.1100,393.7000,348.9800,362.7800,18826800,1859370000,-6.2850,-0.0636,-0.0991,0.0054,-0.0651,0.1550,0.0606,Down
2017-12-19,430.5500,456.1400,374.8400,387.4200,23525300,2066800000,-10.0174,-0.0991,0.0054,-0.0651,0.1550,0.0606,0.0195,Down
2017-12-18,428.9400,476.6200,409.9300,430.0400,26753200,2056020000,0.2564,0.0054,-0.0651,0.1550,0.0606,0.0195,-0.0553,Up
2017-12-17,457.7000,509.9900,425.8100,427.7100,21532200,2192630000,-6.5523,-0.0651,0.1550,0.0606,0.0195,-0.0553,0.0214,Down
2017-12-16,400.7100,461.0800,395.5600,457.4700,26412700,1918270000,14.1649,0.1550,0.0606,0.0195,-0.0553,0.0214,0.0145,Up
2017-12-15,373.8100,403.6500,373.7900,396.0800,32579600,1788160000,5.9576,0.0606,0.0195,-0.0553,0.0214,0.0145,0.0025,Up
2017-12-14,365.3700,383.0200,360.5200,373.4400,13732500,1747280000,2.2087,0.0195,-0.0553,0.0214,0.0145,0.0025,-0.0890,Up
2017-12-13,388.2000,394.7300,355.9400,366.3000,28852100,1855820000,-5.6414,-0.0553,0.0214,0.0145,0.0025,-0.0890,-0.0837,Down
2017-12-12,380.6400,399.2300,371.3200,387.7500,27229000,1819050000,1.8679,0.0214,0.0145,0.0025,-0.0890,-0.0837,0.2111,Up
2017-12-11,371.3100,396.3700,369.6800,379.6300,39237900,1773700000,2.2407,0.0145,0.0025,-0.0890,-0.0837,0.2111,0.1130,Up
2017-12-10,374.7800,384.9600,328.6500,374.2100,26008800,1193920000,-0.1521,0.0025,-0.0890,-0.0837,0.2111,0.1130,0.0032,Up
2017-12-09,409.5800,415.6500,338.1000,373.2600,24820000,1304780000,-8.8676,-0.0890,-0.0837,0.2111,0.1130,0.0032,0.0599,Down
