date,open,high,low,close,volume,marketcap,range,today,dlag1,dlag2,dlag3,dlag4,dlag5,todaydir
2017-12-31,0.6426,0.7544,0.6423,0.7197,305947000,16660300000.0000,12.0007,0.1259,0.2077,0.2983,-0.0156,-0.0333,0.0291,Up
2017-12-30,0.5283,0.7774,0.4716,0.6392,645156000,13697700000.0000,20.9963,0.2077,0.2983,-0.0156,-0.0333,0.0291,0.0675,Up
2017-12-29,0.4105,0.5569,0.4039,0.5293,266403000,10642000000.0000,28.9536,0.2983,-0.0156,-0.0333,0.0291,0.0675,-0.0580,Up
2017-12-28,0.4120,0.4189,0.3679,0.4077,82263800,10682500000.0000,-1.0483,-0.0156,-0.0333,0.0291,0.0675,-0.0580,0.0169,Down
2017-12-27,0.4271,0.4308,0.4011,0.4142,82067500,11073600000.0000,-3.0276,-0.0333,0.0291,0.0675,-0.0580,0.0169,-0.1480,Down
2017-12-26,0.4136,0.4301,0.4056,0.4285,94896000,10722700000.0000,3.6008,0.0291,0.0675,-0.0580,0.0169,-0.1480,-0.0171,Up
2017-12-25,0.3923,0.4397,0.3628,0.4164,122194000,10172000000.0000,6.1257,0.0675,-0.0580,0.0169,-0.1480,-0.0171,-0.0849,Up
2017-12-24,0.4167,0.4167,0.3470,0.3900,67372300,10802800000.0000,-6.3918,-0.0580,0.0169,-0.1480,-0.0171,-0.0849,0.0252,Down
2017-12-23,0.4144,0.4504,0.3926,0.4140,88865000,10744700000.0000,-0.0948,0.0169,-0.1480,-0.0171,-0.0849,0.0252,0.0101,Up
2017-12-22,0.4790,0.4790,0.2936,0.4072,150973000,12418400000.0000,-14.9954,-0.1480,-0.0171,-0.0849,0.0252,0.0101,0.2677,Down
2017-12-21,0.4900,0.5236,0.4565,0.4779,162926000,12705500000.0000,-2.4891,-0.0171,-0.0849,0.0252,0.0101,0.2677,0.8957,Down
2017-12-20,0.5337,0.5337,0.4416,0.4862,182924000,13837400000.0000,-8.9102,-0.0849,0.0252,0.0101,0.2677,0.8957,-0.1133,Down
2017-12-19,0.5203,0.5896,0.5011,0.5313,279631000,13489000000.0000,2.1153,0.0252,0.0101,0.2677,0.8957,-0.1133,0.7929,Up
