date,open,high,low,close,volume,marketcap,range,today,dlag1,dlag2,dlag3,dlag4,dlag5,todaydir
2017-12-31,1002.9900,1093.3900,985.1000,1051.6800,154690000,7808250000,4.8545,0.0398,-0.1189,-0.0109,-0.0246,-0.0269,0.0399,Up
2017-12-30,1147.4800,1147.4800,948.2400,1011.4700,184834000,8930900000,-11.8529,-0.1189,-0.0109,-0.0246,-0.0269,0.0399,-0.0074,Down
2017-12-29,1165.8800,1187.5500,1070.6200,1147.9500,195177000,9071760000,-1.5379,-0.0109,-0.0246,-0.0269,0.0399,-0.0074,-0.0712,Down
2017-12-28,1188.5100,1188.6700,1063.8100,1160.5700,190296000,9245510000,-2.3508,-0.0246,-0.0269,0.0399,-0.0074,-0.0712,0.0818,Down
2017-12-27,1227.9500,1255.2500,1163.4700,1189.8900,211339000,9549870000,-3.0995,-0.0269,0.0399,-0.0074,-0.0712,0.0818,-0.1783,Down
2017-12-26,1173.7100,1227.7200,1169.3400,1222.8300,231985000,9125790000,4.1850,0.0399,-0.0074,-0.0712,0.0818,-0.1783,-0.0748,Up
2017-12-25,1190.5300,1235.2200,1162.4500,1175.8900,195124000,9254180000,-1.2297,-0.0074,-0.0712,0.0818,-0.1783,-0.0748,0.3069,Down
2017-12-24,1286.7300,1286.7300,1090.2100,1184.6900,230643000,9999390000,-7.9302,-0.0712,0.0818,-0.1783,-0.0748,0.3069,0.0167,Down
2017-12-23,1198.7400,1362.9600,1160.0400,1275.5000,327129000,9313260000,6.4034,0.0818,-0.1783,-0.0748,0.3069,0.0167,0.0553,Up
2017-12-22,1441.9000,1452.4500,864.3700,1179.0100,510588000,11199600000,-18.2322,-0.1783,-0.0748,0.3069,0.0167,0.0553,0.1043,Down
2017-12-21,1555.5900,1622.2600,1371.3900,1434.8200,476900000,12079600000,-7.7636,-0.0748,0.3069,0.0167,0.0553,0.1043,0.1121,Down
2017-12-20,1184.9200,1642.2200,1167.3000,1550.8500,816872000,9198860000,30.8823,0.3069,0.0167,0.0553,0.1043,0.1121,-0.0431,Up
2017-12-19,1165.0300,1254.2800,1126.8500,1186.6300,302869000,9042190000,1.8540,0.0167,0.0553,0.1043,0.1121,-0.0431,0.0611,Up
2017-12-18,1110.1600,1195.7400,1044.7600,1167.1200,278638000,8614190000,5.1308,0.0553,0.1043,0.1121,-0.0431,0.0611,-0.0484,Up
2017-12-17,1014.5100,1178.1800,1014.5100,1105.9200,460594000,7869960000,9.0103,0.1043,0.1121,-0.0431,0.0611,-0.0484,0.2177,Up
2017-12-16,901.2200,1001.5100,897.2900,1001.5100,195788000,6989350000,11.1282,0.1121,-0.0431,0.0611,-0.0484,0.2177,0.1114,Up
2017-12-15,943.3200,947.2800,850.6300,900.5200,191527000,7313960000,-4.5372,-0.0431,0.0611,-0.0484,0.2177,0.1114,-0.0483,Down
2017-12-14,884.2100,968.4700,866.6300,941.1100,259303000,6853970000,6.4351,0.0611,-0.0484,0.2177,0.1114,-0.0483,-0.0042,Up
2017-12-13,925.0200,931.2100,810.9600,886.8800,268426000,7168440000,-4.1232,-0.0484,0.2177,0.1114,-0.0483,-0.0042,0.0412,Down
2017-12-12,765.9600,948.6500,746.9400,932.0300,370539000,5934340000,21.6813,0.2177,0.1114,-0.0483,-0.0042,0.0412,-0.0031,Up
2017-12-11,688.5500,768.9300,688.1500,765.4000,184131000,5333190000,11.1611,0.1114,-0.0483,-0.0042,0.0412,-0.0031,-0.0744,Up
2017-12-10,723.2300,723.8300,645.1600,688.6700,190183000,5600430000,-4.7786,-0.0483,-0.0042,0.0412,-0.0031,-0.0744,-0.0228,Down
2017-12-09,727.6400,774.6500,707.3200,723.6100,211738000,5633100000,-0.5538,-0.0042,0.0412,-0.0031,-0.0744,-0.0228,0.0067,Down
2017-12-08,700.6800,766.0400,659.8600,726.6700,288291000,5423040000,3.7093,0.0412,-0.0031,-0.0744,-0.0228,0.0067,-0.0123,Up
2017-12-07,699.9900,714.5100,667.8300,697.9000,249305000,5416260000,-0.2986,-0.0031,-0.0744,-0.0228,0.0067,-0.0123,-0.0239,Down
2017-12-06,756.0100,785.1800,692.0200,700.0700,249073000,5848270000,-7.3994,-0.0744,-0.0228,0.0067,-0.0123,-0.0239,0.0135,Down
2017-12-05,774.7100,779.9800,754.2700,756.3600,201103000,5991370000,-2.3686,-0.0228,0.0067,-0.0123,-0.0239,0.0135,0.1617,Down
2017-12-04,770.5700,778.0500,738.5900,774.0100,152281000,5957860000,0.4464,0.0067,-0.0123,-0.0239,0.0135,0.1617,0.0814,Up
2017-12-03,778.7800,806.7000,744.3900,768.8800,192447000,6015560000,-1.2712,-0.0123,-0.0239,0.0135,0.1617,0.0814,-0.0093,Down
2017-12-02,797.9000,802.1200,769.3900,778.4300,188147000,6161690000,-2.4402,-0.0239,0.0135,0.1617,0.0814,-0.0093,0.0172,Down
2017-12-01,787.4700,806.3700,756.4800,797.5300,286044000,6079550000,1.2775,0.0135,0.1617,0.0814,-0.0093,0.0172,-0.0341,Up
2017-11-30,681.1300,826.9500,670.9900,786.9300,498872000,5257210000,15.5330,0.1617,0.0814,-0.0093,0.0172,-0.0341,0.1358,Up
2017-11-29,626.2600,815.0100,625.3700,677.3900,415879000,4832510000,8.1643,0.0814,-0.0093,0.0172,-0.0341,0.1358,-0.0001,Up
2017-11-28,632.4400,637.0600,616.3100,626.4200,149795000,4878960000,-0.9519,-0.0093,0.0172,-0.0341,0.1358,-0.0001,-0.0210,Down
2017-11-27,621.1500,638.9500,611.7900,632.3000,134862000,4790590000,1.7951,0.0172,-0.0341,0.1358,-0.0001,-0.0210,0.1713,Up
2017-11-26,641.4600,646.2800,617.7400,621.6200,145500000,4945950000,-3.0929,-0.0341,0.1358,-0.0001,-0.0210,0.1713,0.0158,Down
2017-11-25,566.9600,656.1300,566.9600,643.5700,242807000,4370400000,13.5124,0.1358,-0.0001,-0.0210,0.1713,0.0158,0.1000,Up
2017-11-24,564.3400,573.2000,553.5800,566.6300,129105000,4349120000,0.4058,-0.0001,-0.0210,0.1713,0.0158,0.1000,-0.0273,Down
2017-11-23,577.2500,583.7300,557.1200,566.6800,173698000,4447480000,-1.8311,-0.0210,0.1713,0.0158,0.1000,-0.0273,0.0700,Down
2017-11-22,494.7600,594.5300,494.2900,578.8500,381958000,3810980000,16.9961,0.1713,0.0158,0.1000,-0.0273,0.0700,0.0163,Up
2017-11-21,500.2400,519.4200,454.4800,494.2100,245163000,3852180000,-1.2054,0.0158,0.1000,-0.0273,0.0700,0.0163,-0.0147,Up
2017-11-20,442.0300,502.5300,438.4200,486.5400,104701000,3403030000,10.0695,0.1000,-0.0273,0.0700,0.0163,-0.0147,-0.0073,Up
2017-11-19,455.3600,455.6600,431.7900,442.3100,82954600,3504790000,-2.8659,-0.0273,0.0700,0.0163,-0.0147,-0.0073,0.0004,Down
2017-11-18,424.3500,483.1000,423.2500,454.7400,145255000,3265280000,7.1615,0.0700,0.0163,-0.0147,-0.0073,0.0004,-0.2028,Up
2017-11-17,420.5900,436.0200,412.4500,424.9800,95099300,3235510000,1.0438,0.0163,-0.0147,-0.0073,0.0004,-0.2028,0.5492,Up
2017-11-16,424.5100,427.8500,412.8400,418.1800,97321300,3264810000,-1.4911,-0.0147,-0.0073,0.0004,-0.2028,0.5492,0.0500,Down
2017-11-15,428.0800,444.3800,418.4700,424.4100,103157000,3291450000,-0.8573,-0.0073,0.0004,-0.2028,0.5492,0.0500,0.0109,Down
2017-11-14,428.3100,447.9200,408.9500,427.5400,123854000,3292370000,-0.1798,0.0004,-0.2028,0.5492,0.0500,0.0109,0.0306,Up
