date,open,high,low,close,volume,marketcap,range,today,dlag1,dlag2,dlag3,dlag4,dlag5,todaydir
2017-12-31,26.7400,28.4300,26.6400,28.0000,169331000,2640600000,4.7120,0.0401,-0.1036,0.0169,-0.0812,-0.0231,0.0170,Up
2017-12-30,30.0400,30.0400,26.2500,26.9200,241645000,2965900000,-10.3862,-0.1036,0.0169,-0.0812,-0.0231,0.0170,0.0510,Down
2017-12-29,29.6500,30.6700,28.1600,30.0300,239663000,2926400000,1.2816,0.0169,-0.0812,-0.0231,0.0170,0.0510,-0.0596,Up
2017-12-28,32.1600,32.2400,28.2800,29.5300,307104000,3173780000,-8.1779,-0.0812,-0.0231,0.0170,0.0510,-0.0596,0.0572,Down
2017-12-27,32.8300,33.2200,31.2600,32.1400,217743000,3239130000,-2.1017,-0.0231,0.0170,0.0510,-0.0596,0.0572,-0.2646,Down
2017-12-26,32.4600,33.9900,31.9700,32.9000,317646000,3201840000,1.3555,0.0170,0.0510,-0.0596,0.0572,-0.2646,-0.0443,Up
2017-12-25,30.9100,32.4400,30.6900,32.3500,258235000,3047860000,4.6587,0.0510,-0.0596,0.0572,-0.2646,-0.0443,0.0939,Up
2017-12-24,33.0000,33.0000,28.2200,30.7800,316553000,3253910000,-6.7273,-0.0596,0.0572,-0.2646,-0.0443,0.0939,0.0221,Down
2017-12-23,31.5400,35.1400,31.1300,32.7300,385223000,3109180000,3.7730,0.0572,-0.2646,-0.0443,0.0939,0.0221,0.1325,Up
2017-12-22,42.4200,42.6800,23.7600,30.9600,817384000,4180300000,-27.0156,-0.2646,-0.0443,0.0939,0.0221,0.1325,0.0003,Down
2017-12-21,43.8600,47.7700,39.6900,42.1000,825239000,4321050000,-4.0128,-0.0443,0.0939,0.0221,0.1325,0.0003,0.0838,Down
2017-12-20,40.3700,44.8600,37.3200,44.0500,920793000,3976420000,9.1157,0.0939,0.0221,0.1325,0.0003,0.0838,0.0041,Up
2017-12-19,39.4100,46.2400,38.6100,40.2700,931713000,3880300000,2.1822,0.0221,0.1325,0.0003,0.0838,0.0041,0.0754,Up
2017-12-18,34.8500,42.4000,32.5300,39.4000,1072100000,3431130000,13.0560,0.1325,0.0003,0.0838,0.0041,0.0754,-0.0198,Up
2017-12-17,34.7800,36.4100,34.2000,34.7900,428826000,3423520000,0.0288,0.0003,0.0838,0.0041,0.0754,-0.0198,0.0970,Up
2017-12-16,32.0300,39.0200,31.3000,34.7800,1104770000,3151410000,8.5857,0.0838,0.0041,0.0754,-0.0198,0.0970,0.0426,Up
2017-12-15,32.0200,32.7000,28.4700,32.0900,526730000,3150230000,0.2186,0.0041,0.0754,-0.0198,0.0970,0.0426,-0.0887,Up
2017-12-14,29.6400,34.0700,29.6100,31.9600,632755000,2914580000,7.8273,0.0754,-0.0198,0.0970,0.0426,-0.0887,-0.0319,Up
2017-12-13,30.2900,33.2400,27.9500,29.7200,688511000,2978500000,-1.8818,-0.0198,0.0970,0.0426,-0.0887,-0.0319,0.1204,Down
2017-12-12,27.7500,33.3900,27.4200,30.3200,819045000,2728370000,9.2613,0.0970,0.0426,-0.0887,-0.0319,0.1204,-0.0373,Up
2017-12-11,26.4800,29.4300,26.4800,27.6400,470359000,2602010000,4.3807,0.0426,-0.0887,-0.0319,0.1204,-0.0373,-0.0833,Up
2017-12-10,29.2200,29.2200,24.2000,26.5100,463748000,2870390000,-9.2745,-0.0887,-0.0319,0.1204,-0.0373,-0.0833,-0.0003,Down
2017-12-09,29.7700,33.0500,26.7200,29.0900,585616000,2923310000,-2.2842,-0.0319,0.1204,-0.0373,-0.0833,-0.0003,-0.0020,Down
2017-12-08,26.8900,30.0500,25.4500,30.0500,581400000,2639940000,11.7516,0.1204,-0.0373,-0.0833,-0.0003,-0.0020,-0.0110,Up
2017-12-07,27.9000,30.0400,26.7700,26.8200,449013000,2738670000,-3.8710,-0.0373,-0.0833,-0.0003,-0.0020,-0.0110,-0.0128,Down
2017-12-06,30.4900,30.5100,27.3100,27.8600,407100000,2991890000,-8.6258,-0.0833,-0.0003,-0.0020,-0.0110,-0.0128,0.1068,Down
2017-12-05,30.4000,31.2300,29.5800,30.3900,331677000,2981630000,-0.0329,-0.0003,-0.0020,-0.0110,-0.0128,0.1068,0.1090,Down
2017-12-04,30.4400,30.8800,29.6200,30.4000,274351000,2984910000,-0.1314,-0.0020,-0.0110,-0.0128,0.1068,0.1090,-0.2519,Down
2017-12-03,30.7700,31.7900,29.8700,30.4600,401675000,3016140000,-1.0075,-0.0110,-0.0128,0.1068,0.1090,-0.2519,0.3196,Down
2017-12-02,31.1800,32.6600,29.8100,30.8000,605113000,3055410000,-1.2187,-0.0128,0.1068,0.1090,-0.2519,0.3196,0.1589,Down
2017-12-01,27.9500,31.5400,25.5000,31.2000,853735000,2737970000,11.6279,0.1068,0.1090,-0.2519,0.3196,0.1589,0.0235,Up
2017-11-30,26.0100,29.4400,22.5900,28.1900,968075000,2546530000,8.3814,0.1090,-0.2519,0.3196,0.1589,0.0235,0.0121,Up
2017-11-29,33.9800,34.2500,24.6700,25.4200,919393000,3326880000,-25.1913,-0.2519,0.3196,0.1589,0.0235,0.0121,0.1766,Down
2017-11-28,25.7400,34.8500,25.6000,33.9800,1640680000,2519340000,32.0124,0.3196,0.1589,0.0235,0.0121,0.1766,0.0133,Up
2017-11-27,22.1600,26.5500,21.7000,25.7500,718945000,2167620000,16.2004,0.1589,0.0235,0.0121,0.1766,0.0133,0.0107,Up
2017-11-26,21.7300,22.6100,21.3500,22.2200,494333000,2124930000,2.2549,0.0235,0.0121,0.1766,0.0133,0.0107,-0.0321,Up
2017-11-25,21.3300,22.7500,20.2100,21.7100,370135000,2084820000,1.7815,0.0121,0.1766,0.0133,0.0107,-0.0321,0.0262,Up
2017-11-24,18.2600,21.7600,18.0700,21.4500,373045000,1785000000,17.4699,0.1766,0.0133,0.0107,-0.0321,0.0262,0.0113,Up
2017-11-23,18.0200,18.7700,17.7700,18.2300,186523000,1760670000,1.1654,0.0133,0.0107,-0.0321,0.0262,0.0113,0.0278,Up
2017-11-22,17.7400,18.1500,17.7300,17.9900,93779000,1732980000,1.4092,0.0107,-0.0321,0.0262,0.0113,0.0278,0.0213,Up
2017-11-21,18.4000,18.4700,17.2800,17.8000,186210000,1796380000,-3.2609,-0.0321,0.0262,0.0113,0.0278,0.0213,-0.0382,Down
2017-11-20,17.9400,18.6800,17.8400,18.3900,147752000,1750630000,2.5084,0.0262,0.0113,0.0278,0.0213,-0.0382,-0.0179,Up
2017-11-19,17.7300,18.0700,17.5800,17.9200,110618000,1730450000,1.0716,0.0113,0.0278,0.0213,-0.0382,-0.0179,0.1092,Up
2017-11-18,17.2100,18.1200,17.0000,17.7200,159453000,1679120000,2.9634,0.0278,0.0213,-0.0382,-0.0179,0.1092,0.0613,Up
2017-11-17,16.7700,17.5800,16.7600,17.2400,150957000,1635500000,2.8026,0.0213,-0.0382,-0.0179,0.1092,0.0613,-0.2183,Up
2017-11-16,17.5000,17.5000,16.3900,16.8800,182721000,1706140000,-3.5429,-0.0382,-0.0179,0.1092,0.0613,-0.2183,0.3301,Down
2017-11-15,17.8400,17.9200,17.2100,17.5500,149567000,1738580000,-1.6256,-0.0179,0.1092,0.0613,-0.2183,0.3301,0.0274,Down
2017-11-14,16.0800,18.7400,16.0800,17.8700,449738000,1566510000,11.1318,0.1092,0.0613,-0.2183,0.3301,0.0274,0.0136,Up
2017-11-13,15.3100,16.6600,14.4700,16.1100,350880000,1490890000,5.2253,0.0613,-0.2183,0.3301,0.0274,0.0136,0.0072,Up
2017-11-12,19.4600,21.7500,15.0400,15.1800,697453000,1894610000,-21.9938,-0.2183,0.3301,0.0274,0.0136,0.0072,-0.0286,Down
2017-11-11,14.6200,19.8100,14.5900,19.4200,958982000,1423270000,32.8317,0.3301,0.0274,0.0136,0.0072,-0.0286,0.0823,Up
2017-11-10,14.1900,15.3500,13.9200,14.6000,299857000,1380350000,2.8894,0.0274,0.0136,0.0072,-0.0286,0.0823,0.1135,Up
2017-11-09,13.9800,14.5000,13.9000,14.2100,129201000,1359370000,1.6452,0.0136,0.0072,-0.0286,0.0823,0.1135,-0.0608,Up
2017-11-08,14.0900,14.4300,13.7300,14.0200,139534000,1369880000,-0.4968,0.0072,-0.0286,0.0823,0.1135,-0.0608,0.2363,Up
2017-11-07,14.1400,14.9900,13.5800,13.9200,173761000,1374590000,-1.5559,-0.0286,0.0823,0.1135,-0.0608,0.2363,-0.0019,Down
2017-11-06,13.3000,15.6400,13.1300,14.3300,435668000,1292090000,7.7444,0.0823,0.1135,-0.0608,0.2363,-0.0019,-0.0339,Up
2017-11-05,11.8600,14.2300,11.8000,13.2400,333395000,1152170000,11.6358,0.1135,-0.0608,0.2363,-0.0019,-0.0339,-0.0230,Up
2017-11-04,12.6300,12.6500,11.2300,11.8900,149319000,1226190000,-5.8591,-0.0608,0.2363,-0.0019,-0.0339,-0.0230,0.0009,Down
2017-11-03,10.2400,12.7300,10.2000,12.6600,146543000,993753000,23.6328,0.2363,-0.0019,-0.0339,-0.0230,0.0009,0.0294,Up
2017-11-02,10.2700,10.3800,9.8200,10.2400,39190200,996639000,-0.2921,-0.0019,-0.0339,-0.0230,0.0009,0.0294,0.0164,Down
2017-11-01,10.6000,10.6700,10.2500,10.2600,30011800,1028310000,-3.2075,-0.0339,-0.0230,0.0009,0.0294,0.0164,-0.0114,Down
2017-10-31,10.8700,10.9400,10.6200,10.6200,27241200,1053730000,-2.2999,-0.0230,0.0009,0.0294,0.0164,-0.0114,-0.0122,Down
2017-10-30,10.8400,10.9700,10.8000,10.8700,20081700,1050600000,0.2768,0.0009,0.0294,0.0164,-0.0114,-0.0122,0.0028,Up
2017-10-29,10.5900,11.2000,10.5900,10.8600,65005200,1026380000,2.5496,0.0294,0.0164,-0.0114,-0.0122,0.0028,0.0311,Up
2017-10-28,10.4000,10.6800,10.2900,10.5500,24204100,1007430000,1.4423,0.0164,-0.0114,-0.0122,0.0028,0.0311,-0.0508,Up
2017-10-27,10.4900,10.5600,10.3200,10.3800,21540100,1015860000,-1.0486,-0.0114,-0.0122,0.0028,0.0311,-0.0508,-0.0082,Down
2017-10-26,10.6200,10.7200,10.4600,10.5000,18961900,1028580000,-1.1299,-0.0122,0.0028,0.0311,-0.0508,-0.0082,-0.0267,Down
2017-10-25,10.5800,10.7500,10.3000,10.6300,25582600,1024260000,0.4726,0.0028,0.0311,-0.0508,-0.0082,-0.0267,-0.0106,Up
2017-10-24,10.2800,10.9900,10.0000,10.6000,41969800,994988000,3.1128,0.0311,-0.0508,-0.0082,-0.0267,-0.0106,-0.0165,Up
2017-10-23,10.8200,10.8200,9.9700,10.2800,39358200,1046200000,-4.9908,-0.0508,-0.0082,-0.0267,-0.0106,-0.0165,-0.0327,Down
2017-10-22,10.9300,11.2500,10.7200,10.8300,19648600,1057170000,-0.9149,-0.0082,-0.0267,-0.0106,-0.0165,-0.0327,0.0025,Down
2017-10-21,11.2100,11.3100,10.7900,10.9200,20451400,1083120000,-2.5870,-0.0267,-0.0106,-0.0165,-0.0327,0.0025,-0.0050,Down
2017-10-20,11.3600,11.5100,11.2200,11.2200,28250900,1097270000,-1.2324,-0.0106,-0.0165,-0.0327,0.0025,-0.0050,-0.0253,Down
2017-10-19,11.5200,11.6100,11.2900,11.3400,25045400,1112650000,-1.5625,-0.0165,-0.0327,0.0025,-0.0050,-0.0253,0.0066,Down
