date,open,high,low,close,volume,marketcap,range,today,dlag1,dlag2,dlag3,dlag4,dlag5,todaydir
2017-12-31,712.2100,760.3500,710.1200,756.7300,2554270000,68850800000,6.2510,0.0550,-0.0482,0.0225,-0.0338,-0.0142,0.0105,Up
2017-12-30,753.8200,753.8200,685.2300,717.2600,3187780000,72856900000,-4.8500,-0.0482,0.0225,-0.0338,-0.0142,0.0105,0.1033,Down
2017-12-29,740.3900,770.1200,729.6100,753.5900,2648970000,71544300000,1.7828,0.0225,-0.0338,-0.0142,0.0105,0.1033,-0.0351,Up
2017-12-28,762.2100,763.3200,701.1900,737.0200,2389150000,73637100000,-3.3049,-0.0338,-0.0142,0.0105,0.1033,-0.0351,0.0660,Down
2017-12-27,774.9700,789.2500,738.4100,762.8400,2100030000,74854100000,-1.5652,-0.0142,0.0105,0.1033,-0.0351,0.0660,-0.1781,Down
2017-12-26,763.3700,786.7900,760.9300,773.8400,2201160000,73717800000,1.3715,0.0105,0.1033,-0.0351,0.0660,-0.1781,0.0024,Up
2017-12-25,698.8700,782.5200,698.8700,765.8300,2491760000,67475100000,9.5812,0.1033,-0.0351,0.0660,-0.1781,0.0024,-0.0093,Up
2017-12-24,721.7700,721.7700,614.9200,694.1500,2300550000,69671200000,-3.8267,-0.0351,0.0660,-0.1781,0.0024,-0.0093,0.0405,Down
2017-12-23,681.3200,763.8900,679.7300,719.3900,2480340000,65752100000,5.5877,0.0660,-0.1781,0.0024,-0.0093,0.0405,0.1037,Up
2017-12-22,822.6400,827.6800,543.7600,674.8600,4977710000,79374400000,-17.9641,-0.1781,0.0024,-0.0093,0.0405,0.1037,0.0341,Down
2017-12-21,820.2400,880.5400,792.6900,821.0600,3569060000,79125300000,0.1000,0.0024,-0.0093,0.0405,0.1037,0.0341,0.0172,Up
2017-12-20,827.5200,845.0600,756.0000,819.0900,3969940000,79810600000,-1.0187,-0.0093,0.0405,0.1037,0.0341,0.0172,-0.0163,Down
2017-12-19,793.9000,881.9400,785.3400,826.8200,4096550000,76552200000,4.1466,0.0405,0.1037,0.0341,0.0172,-0.0163,-0.0099,Up
2017-12-18,721.7300,803.9300,689.2300,794.6400,3249230000,69578400000,10.1021,0.1037,0.0341,0.0172,-0.0163,-0.0099,0.0788,Up
2017-12-17,696.2400,735.8300,696.2400,719.9800,2147390000,67106400000,3.4097,0.0341,0.0172,-0.0163,-0.0099,0.0788,0.2646,Up
2017-12-16,686.1900,718.3800,680.7900,696.2100,2165690000,66124200000,1.4602,0.0172,-0.0163,-0.0099,0.0788,0.2646,0.1662,Up
2017-12-15,696.3800,697.1300,621.0600,684.4500,2758710000,67090900000,-1.7131,-0.0163,-0.0099,0.0788,0.2646,0.1662,-0.0671,Down
2017-12-14,700.5900,753.1200,664.9900,695.8200,3821580000,67482900000,-0.6809,-0.0099,0.0788,0.2646,0.1662,-0.0671,0.0383,Down
2017-12-13,644.9100,747.9900,597.8000,702.7700,4524540000,62105600000,8.9718,0.0788,0.2646,0.1662,-0.0671,0.0383,0.0498,Up
2017-12-12,522.2900,657.3200,504.4900,651.4300,5179830000,50286400000,24.7257,0.2646,0.1662,-0.0671,0.0383,0.0498,0.0136,Up
2017-12-11,440.3600,516.9700,439.1000,515.1400,1771440000,42389300000,16.9816,0.1662,-0.0671,0.0383,0.0498,0.0136,-0.0749,Up
2017-12-10,472.7900,472.7900,429.5100,441.7200,1404180000,45501400000,-6.5716,-0.0671,0.0383,0.0498,0.0136,-0.0749,-0.0147,Down
2017-12-09,457.3400,504.1500,456.2500,473.5000,2003850000,44005600000,3.5335,0.0383,0.0498,0.0136,-0.0749,-0.0147,0.0093,Up
2017-12-08,434.9900,466.0600,422.3700,456.0300,2336380000,41845800000,4.8369,0.0498,0.0136,-0.0749,-0.0147,0.0093,0.0052,Up
2017-12-07,426.3700,441.4000,414.4100,434.4100,2129570000,41007600000,1.8857,0.0136,-0.0749,-0.0147,0.0093,0.0052,-0.0066,Up
2017-12-06,462.6000,462.7100,420.2100,428.5900,1998260000,44483100000,-7.3519,-0.0749,-0.0147,0.0093,0.0052,-0.0066,0.0435,Down
2017-12-05,470.2900,473.5600,457.6600,463.2800,1216720000,45212800000,-1.4906,-0.0147,0.0093,0.0052,-0.0066,0.0435,0.0458,Down
2017-12-04,466.0500,474.7800,453.3100,470.2000,1005550000,44795700000,0.8905,0.0093,0.0052,-0.0066,0.0435,0.0458,-0.0960,Up
2017-12-03,463.7000,482.8100,451.8500,465.8500,990557000,44560500000,0.4637,0.0052,-0.0066,0.0435,0.0458,-0.0960,-0.0155,Up
2017-12-02,466.8500,476.2400,456.6500,463.4500,943650000,44853300000,-0.7283,-0.0066,0.0435,0.0458,-0.0960,-0.0155,0.0192,Down
2017-12-01,445.2100,472.6100,428.3100,466.5400,1247880000,42765000000,4.7910,0.0435,0.0458,-0.0960,-0.0155,0.0192,0.0108,Up
2017-11-30,431.2100,465.5000,401.2400,447.1100,1903040000,41411900000,3.6873,0.0458,-0.0960,-0.0155,0.0192,0.0108,-0.0182,Up
2017-11-29,473.2800,522.3100,425.0700,427.5200,2675940000,45442100000,-9.6687,-0.0960,-0.0155,0.0192,0.0108,-0.0182,0.1578,Down
2017-11-28,480.5200,482.4800,466.3500,472.9000,1346500000,46127200000,-1.5858,-0.0155,0.0192,0.0108,-0.0182,0.1578,0.0776,Down
2017-11-27,471.5300,493.4000,468.4900,480.3600,1396480000,45255000000,1.8726,0.0192,0.0108,-0.0182,0.1578,0.0776,0.0562,Up
2017-11-26,465.9700,472.7200,451.6100,471.3300,1197780000,44712100000,1.1503,0.0108,-0.0182,0.1578,0.0776,0.0562,-0.0173,Up
2017-11-25,475.6800,485.1900,461.0500,466.2800,1422080000,45633400000,-1.9761,-0.0182,0.1578,0.0776,0.0562,-0.0173,0.0348,Down
2017-11-24,412.5000,480.9700,402.7600,474.9100,2292830000,39564300000,15.1297,0.1578,0.0776,0.0562,-0.0173,0.0348,0.0195,Up
2017-11-23,381.4400,425.5500,376.0900,410.1700,1845680000,36577300000,7.5320,0.0776,0.0562,-0.0173,0.0348,0.0195,0.0458,Up
2017-11-22,360.3100,381.4200,360.1500,380.6500,800819000,34544000000,5.6451,0.0562,-0.0173,0.0348,0.0195,0.0458,0.0044,Up
2017-11-21,367.4400,372.4700,350.6900,360.4000,949912000,35220200000,-1.9160,-0.0173,0.0348,0.0195,0.0458,0.0044,-0.0073,Down
2017-11-20,354.0900,372.1400,353.2900,366.7300,807027000,33933400000,3.5697,0.0348,0.0195,0.0458,0.0044,-0.0073,-0.0126,Up
2017-11-19,347.4000,371.2900,344.7400,354.3900,1181530000,33284900000,2.0121,0.0195,0.0458,0.0044,-0.0073,-0.0126,0.0660,Up
2017-11-18,331.9800,349.6200,327.6900,347.6100,649639000,31800700000,4.7081,0.0458,0.0044,-0.0073,-0.0126,0.0660,0.0286,Up
2017-11-17,330.1700,334.9600,327.5200,332.3900,621733000,31620300000,0.6724,0.0044,-0.0073,-0.0126,0.0660,0.0286,-0.0215,Up
2017-11-16,333.4400,336.1600,323.6100,330.9200,797254000,31927300000,-0.7558,-0.0073,-0.0126,0.0660,0.0286,-0.0215,0.0516,Down
2017-11-15,337.9600,340.9100,329.8100,333.3600,722666000,32353200000,-1.3611,-0.0126,0.0660,0.0286,-0.0215,0.0516,-0.0674,Down
2017-11-14,316.7600,340.1800,316.7600,337.6300,1069680000,30317300000,6.5886,0.0660,0.0286,-0.0215,0.0516,-0.0674,0.0382,Up
2017-11-13,307.0200,328.4200,307.0200,316.7200,1041890000,29379000000,3.1594,0.0286,-0.0215,0.0516,-0.0674,0.0382,0.0489,Up
2017-11-12,314.6900,319.1500,298.5100,307.9100,1613480000,30106200000,-2.1545,-0.0215,0.0516,-0.0674,0.0382,0.0489,-0.0142,Down
2017-11-11,298.5900,319.4500,298.1900,314.6800,842301000,28559400000,5.3887,0.0516,-0.0674,0.0382,0.0489,-0.0142,0.0089,Up
