date,open,high,low,close,volume,marketcap,range,today,dlag1,dlag2,dlag3,dlag4,dlag5,todaydir
2017-12-31,3.3000,3.6600,3.3000,3.5500,167521000,9182840000,7.5758,0.0629,-0.0949,0.0027,-0.0160,-0.0158,0.0857,Up
2017-12-30,3.7000,3.7200,3.0100,3.3400,245624000,10279700000,-9.7297,-0.0949,0.0027,-0.0160,-0.0158,0.0857,0.0057,Down
2017-12-29,3.7000,3.8900,3.4900,3.6900,187729000,10270500000,-0.2703,0.0027,-0.0160,-0.0158,0.0857,0.0057,-0.0360,Up
2017-12-28,3.7200,3.7500,3.3300,3.6800,217902000,10346000000,-1.0753,-0.0160,-0.0158,0.0857,0.0057,-0.0360,0.0464,Down
2017-12-27,3.8100,4.4800,3.6200,3.7400,297053000,10593200000,-1.8373,-0.0158,0.0857,0.0057,-0.0360,0.0464,-0.3141,Down
2017-12-26,3.4900,3.8200,3.4900,3.8000,178890000,9703070000,8.8825,0.0857,0.0057,-0.0360,0.0464,-0.3141,-0.0118,Up
2017-12-25,3.4900,3.8100,3.2900,3.5000,172138000,9704640000,0.2865,0.0057,-0.0360,0.0464,-0.3141,-0.0118,-0.0521,Up
2017-12-24,3.6100,3.6400,2.9500,3.4800,278148000,10046100000,-3.6011,-0.0360,0.0464,-0.3141,-0.0118,-0.0521,0.2665,Down
2017-12-23,3.5100,4.2100,3.3900,3.6100,236435000,9763930000,2.8490,0.0464,-0.3141,-0.0118,-0.0521,0.2665,0.0789,Up
2017-12-22,5.0800,5.1100,2.8000,3.4500,826429000,14109700000,-32.0866,-0.3141,-0.0118,-0.0521,0.2665,0.0789,0.0826,Down
2017-12-21,5.0800,5.5100,4.8600,5.0300,434568000,14120900000,-0.9843,-0.0118,-0.0521,0.2665,0.0789,0.0826,-0.0692,Down
2017-12-20,5.3700,5.5200,4.6900,5.0900,611582000,14929000000,-5.2142,-0.0521,0.2665,0.0789,0.0826,-0.0692,0.0317,Down
2017-12-19,4.2400,5.6900,3.8800,5.3700,1117890000,11796300000,26.6509,0.2665,0.0789,0.0826,-0.0692,0.0317,-0.0758,Up
2017-12-18,3.9500,4.3600,3.6500,4.2400,447675000,10977400000,7.3418,0.0789,0.0826,-0.0692,0.0317,-0.0758,-0.1335,Up
