date,open,high,low,close,volume,marketcap,range,today,dlag1,dlag2,dlag3,dlag4,dlag5,todaydir
2017-12-31,19.0000,21.8200,18.5100,20.4100,64758700,2213620000,7.4211,0.0504,-0.1459,-0.0130,-0.0404,-0.0491,0.0587,Up
2017-12-30,22.5700,22.5700,18.1700,19.4300,73691700,2628920000,-13.9123,-0.1459,-0.0130,-0.0404,-0.0491,0.0587,0.1918,Down
2017-12-29,23.2400,23.5500,21.8100,22.7500,79199000,2705870000,-2.1084,-0.0130,-0.0404,-0.0491,0.0587,0.1918,-0.0333,Down
2017-12-28,23.9400,23.9800,21.5400,23.0500,68268900,2786020000,-3.7176,-0.0404,-0.0491,0.0587,0.1918,-0.0333,0.0621,Down
2017-12-27,24.8300,25.2600,23.1700,24.0200,77179500,2889020000,-3.2622,-0.0491,0.0587,0.1918,-0.0333,0.0621,-0.1932,Down
2017-12-26,23.8900,27.3800,22.8500,25.2600,145958000,2778810000,5.7346,0.0587,0.1918,-0.0333,0.0621,-0.1932,0.2351,Up
2017-12-25,20.2900,24.0900,19.1300,23.8600,106194000,2359540000,17.5949,0.1918,-0.0333,0.0621,-0.1932,0.2351,0.1642,Up
2017-12-24,21.0100,21.0100,17.2200,20.0200,65224400,2442470000,-4.7120,-0.0333,0.0621,-0.1932,0.2351,0.1642,-0.0123,Down
2017-12-23,19.6100,22.7900,18.9900,20.7100,90698800,2278950000,5.6094,0.0621,-0.1932,0.2351,0.1642,-0.0123,0.2673,Up
2017-12-22,24.1800,24.4400,14.7200,19.5000,177588000,2809610000,-19.3548,-0.1932,0.2351,0.1642,-0.0123,0.2673,0.2815,Down
2017-12-21,19.6200,27.3600,19.3300,24.1700,201110000,2278410000,23.1906,0.2351,0.1642,-0.0123,0.2673,0.2815,0.0254,Up
2017-12-20,16.8200,20.3900,15.3700,19.5700,115660000,1953420000,16.3496,0.1642,-0.0123,0.2673,0.2815,0.0254,-0.0466,Up
2017-12-19,17.0100,18.7600,15.8000,16.8100,102730000,1974370000,-1.1758,-0.0123,0.2673,0.2815,0.0254,-0.0466,0.1272,Down
2017-12-18,13.5000,18.1200,13.0100,17.0200,149703000,1566950000,26.0741,0.2673,0.2815,0.0254,-0.0466,0.1272,0.0171,Up
2017-12-17,10.5100,14.5500,10.3800,13.4300,128034000,1219470000,27.7831,0.2815,0.0254,-0.0466,0.1272,0.0171,0.1444,Up
2017-12-16,10.1800,10.6500,10.0400,10.4800,45189500,1181070000,2.9470,0.0254,-0.0466,0.1272,0.0171,0.1444,0.0290,Up
2017-12-15,10.7700,11.1800,9.5600,10.2200,60658700,1248440000,-5.1068,-0.0466,0.1272,0.0171,0.1444,0.0290,-0.0329,Down
2017-12-14,9.5400,11.1200,9.5300,10.7200,68330600,1105220000,12.3690,0.1272,0.0171,0.1444,0.0290,-0.0329,0.0186,Up
2017-12-13,9.4000,10.2100,8.6200,9.5100,53217400,1089060000,1.1702,0.0171,0.1444,0.0290,-0.0329,0.0186,0.0951,Up
2017-12-12,8.2000,9.3600,8.1900,9.3500,41474000,950373000,14.0244,0.1444,0.0290,-0.0329,0.0186,0.0951,-0.1331,Up
2017-12-11,7.9400,8.5400,7.8400,8.1700,28711700,919207000,2.8967,0.0290,-0.0329,0.0186,0.0951,-0.1331,-0.1459,Up
2017-12-10,8.2300,8.4400,7.5100,7.9400,28777900,952954000,-3.5237,-0.0329,0.0186,0.0951,-0.1331,-0.1459,0.1334,Down
2017-12-09,8.0500,8.7300,7.9100,8.2100,30708500,931630000,1.9876,0.0186,0.0951,-0.1331,-0.1459,0.1334,0.1331,Up
2017-12-08,7.3900,8.6300,7.0000,8.0600,40878700,855170000,9.0663,0.0951,-0.1331,-0.1459,0.1334,0.1331,0.0052,Up
2017-12-07,8.5800,8.9500,7.3600,7.3600,53831400,992573000,-14.2191,-0.1331,-0.1459,0.1334,0.1331,0.0052,-0.0039,Down
2017-12-06,9.8200,9.9400,8.3500,8.4900,52262500,1135620000,-13.5438,-0.1459,0.1334,0.1331,0.0052,-0.0039,0.0307,Down
2017-12-05,8.8300,10.1900,8.5100,9.9400,69110300,1020940000,12.5708,0.1334,0.1331,0.0052,-0.0039,0.0307,0.0870,Up
2017-12-04,7.7500,8.8600,7.6600,8.7700,39137100,895777000,13.1613,0.1331,0.0052,-0.0039,0.0307,0.0870,-0.1142,Up
2017-12-03,7.7200,8.3100,7.3800,7.7400,22047600,891646000,0.2591,0.0052,-0.0039,0.0307,0.0870,-0.1142,-0.0127,Up
2017-12-02,7.7200,7.9000,7.5200,7.7000,18663400,891575000,-0.2591,-0.0039,0.0307,0.0870,-0.1142,-0.0127,0.0506,Down
2017-12-01,7.4800,7.9500,7.1200,7.7300,24098300,863264000,3.3422,0.0307,0.0870,-0.1142,-0.0127,0.0506,-0.0659,Up
2017-11-30,7.0000,7.5500,6.7000,7.5000,25251200,807876000,7.1429,0.0870,-0.1142,-0.0127,0.0506,-0.0659,0.0190,Up
2017-11-29,7.8300,8.0300,6.7200,6.9000,34207700,903169000,-11.8774,-0.1142,-0.0127,0.0506,-0.0659,0.0190,0.0534,Down
2017-11-28,7.9100,8.3500,7.7900,7.7900,26685400,912326000,-1.5171,-0.0127,0.0506,-0.0659,0.0190,0.0534,-0.1260,Down
2017-11-27,7.4900,8.0600,7.4900,7.8900,29071700,863396000,5.3405,0.0506,-0.0659,0.0190,0.0534,-0.1260,-0.1147,Up
2017-11-26,8.0300,8.0900,7.4700,7.5100,30757600,925420000,-6.4757,-0.0659,0.0190,0.0534,-0.1260,-0.1147,-0.0092,Down
2017-11-25,7.8800,8.4900,7.8800,8.0400,28727000,908561000,2.0305,0.0190,0.0534,-0.1260,-0.1147,-0.0092,0.0031,Up
2017-11-24,7.4000,8.1200,7.3600,7.8900,33888100,852845000,6.6216,0.0534,-0.1260,-0.1147,-0.0092,0.0031,0.0496,Up
2017-11-23,8.6600,8.8300,7.3800,7.4900,59098700,997919000,-13.5104,-0.1260,-0.1147,-0.0092,0.0031,0.0496,0.1208,Down
2017-11-22,9.6800,10.7000,8.0100,8.5700,106176000,1114590000,-11.4669,-0.1147,-0.0092,0.0031,0.0496,0.1208,-0.0155,Down
2017-11-21,9.7400,10.1600,9.2500,9.6800,26816700,1121400000,-0.6160,-0.0092,0.0031,0.0496,0.1208,-0.0155,-0.0047,Down
2017-11-20,9.7200,10.2200,9.5400,9.7700,26170000,1118590000,0.5144,0.0031,0.0496,0.1208,-0.0155,-0.0047,0.1901,Up
2017-11-19,9.2500,10.2600,9.1300,9.7400,39171200,1063710000,5.2973,0.0496,0.1208,-0.0155,-0.0047,0.1901,0.1199,Up
2017-11-18,8.3400,9.5300,7.9600,9.2800,28695700,959358000,11.2710,0.1208,-0.0155,-0.0047,0.1901,0.1199,0.1527,Up
2017-11-17,8.3700,9.5800,8.0200,8.2800,47083900,961893000,-1.0753,-0.0155,-0.0047,0.1901,0.1199,0.1527,-0.0484,Down
2017-11-16,8.4900,11.1500,8.4100,8.4100,140758000,975188000,-0.9423,-0.0047,0.1901,0.1199,0.1527,-0.0484,0.0248,Down
2017-11-15,7.1300,8.6800,7.1300,8.4500,61652800,818827000,18.5133,0.1901,0.1199,0.1527,-0.0484,0.0248,-0.1256,Up
2017-11-14,6.3900,7.1400,6.3200,7.1000,24092900,733401000,11.1111,0.1199,0.1527,-0.0484,0.0248,-0.1256,0.0661,Up
2017-11-13,5.5000,6.5000,5.5000,6.3400,29720300,631108000,15.2727,0.1527,-0.0484,0.0248,-0.1256,0.0661,0.1657,Up
2017-11-12,5.7800,5.8500,4.8900,5.5000,20592700,663164000,-4.8443,-0.0484,0.0248,-0.1256,0.0661,0.1657,0.1307,Down
2017-11-11,5.6000,6.3100,5.5100,5.7800,15022000,642032000,3.2143,0.0248,-0.1256,0.0661,0.1657,0.1307,0.0338,Up
2017-11-10,6.4300,6.6400,5.3600,5.6400,19419400,737826000,-12.2862,-0.1256,0.0661,0.1657,0.1307,0.0338,-0.0327,Down
