date,open,high,low,close,volume,marketcap,range,today,dlag1,dlag2,dlag3,dlag4,dlag5,todaydir
2017-12-31,216.9700,237.7900,213.8100,232.1000,771042000,11835100000,6.9733,0.0600,-0.1081,-0.0177,-0.0817,-0.0500,0.0480,Up
2017-12-30,245.0900,245.4300,208.2000,218.9600,943667000,13364800000,-10.6614,-0.1081,-0.0177,-0.0817,-0.0500,0.0480,-0.0094,Down
2017-12-29,250.3500,258.0400,238.3300,245.5000,1392210000,13648200000,-1.9373,-0.0177,-0.0817,-0.0500,0.0480,-0.0094,-0.0426,Down
2017-12-28,272.1300,273.1800,231.3800,249.9300,2593240000,14831200000,-8.1579,-0.0817,-0.0500,0.0480,-0.0094,-0.0426,0.0881,Down
2017-12-27,286.5900,290.9400,264.4200,272.1700,777138000,15615200000,-5.0316,-0.0500,0.0480,-0.0094,-0.0426,0.0881,-0.1655,Down
2017-12-26,273.1100,289.5100,272.2600,286.5000,842993000,14876400000,4.9028,0.0480,-0.0094,-0.0426,0.0881,-0.1655,0.0090,Up
2017-12-25,277.4900,286.7900,269.5700,273.3900,804377000,15111400000,-1.4775,-0.0094,-0.0426,0.0881,-0.1655,0.0090,-0.1017,Down
2017-12-24,291.0100,291.0100,251.0400,275.9800,1122910000,15842900000,-5.1648,-0.0426,0.0881,-0.1655,0.0090,-0.1017,-0.0226,Down
2017-12-23,269.2700,312.6700,261.6400,288.2700,1352580000,14655200000,7.0561,0.0881,-0.1655,0.0090,-0.1017,-0.0226,0.1243,Up
2017-12-22,319.2600,320.3000,187.4800,264.9300,2938040000,17371200000,-17.0175,-0.1655,0.0090,-0.1017,-0.0226,0.1243,0.0661,Down
2017-12-21,314.6600,339.7400,299.5300,317.4600,1555940000,17116600000,0.8898,0.0090,-0.1017,-0.0226,0.1243,0.0661,-0.0027,Up
2017-12-20,349.6000,349.6000,308.6300,314.6200,2104060000,19012500000,-10.0057,-0.1017,-0.0226,0.1243,0.0661,-0.0027,0.0732,Down
2017-12-19,359.1300,375.2900,335.6800,350.2500,2150480000,19525500000,-2.4726,-0.0226,0.1243,0.0661,-0.0027,0.0732,-0.0769,Down
2017-12-18,318.9500,360.9300,302.0000,358.3400,1966600000,17336500000,12.3499,0.1243,0.0661,-0.0027,0.0732,-0.0769,-0.0429,Up
2017-12-17,301.7800,332.5900,301.7800,318.7200,1703580000,16398800000,5.6134,0.0661,-0.0027,0.0732,-0.0769,-0.0429,0.4760,Up
2017-12-16,299.3400,309.9000,290.1300,298.9700,1291380000,16260700000,-0.1236,-0.0027,0.0732,-0.0769,-0.0429,0.4760,0.4409,Down
2017-12-15,280.9700,316.4100,251.2200,299.7800,2599940000,15258500000,6.6947,0.0732,-0.0769,-0.0429,0.4760,0.4409,-0.0424,Up
2017-12-14,301.2000,311.3200,265.6600,279.3300,2114880000,16352400000,-7.2610,-0.0769,-0.0429,0.4760,0.4409,-0.0424,0.2434,Down
2017-12-13,315.3600,341.8000,287.4800,302.6000,3409790000,17116500000,-4.0462,-0.0429,0.4760,0.4409,-0.0424,0.2434,0.2702,Down
2017-12-12,212.4600,341.7200,209.6800,316.1600,6961680000,11528600000,48.8092,0.4760,0.4409,-0.0424,0.2434,0.2702,-0.0205,Up
2017-12-11,148.2600,225.2900,147.3400,214.2000,2913980000,8042020000,44.4759,0.4409,-0.0424,0.2434,0.2702,-0.0205,-0.0200,Up
