date,open,high,low,close,volume,marketcap,range,today,dlag1,dlag2,dlag3,dlag4,dlag5,todaydir
2017-12-31,329.0000,356.7700,327.4100,349.0300,101667000,5113910000,6.0881,0.0551,-0.1234,-0.0040,-0.1018,0.1057,0.0575,Up
2017-12-30,378.5200,378.5200,319.6100,330.8000,140463000,5882180000,-12.6070,-0.1234,-0.0040,-0.1018,0.1057,0.0575,0.0704,Down
2017-12-29,381.3000,387.5600,358.0700,377.3700,173825000,5921340000,-1.0307,-0.0040,-0.1018,0.1057,0.0575,0.0704,-0.1177,Down
2017-12-28,422.5100,422.5100,359.4900,378.9000,162717000,6561210000,-10.3216,-0.1018,0.1057,0.0575,0.0704,-0.1177,0.1038,Down
2017-12-27,381.3000,442.6000,381.3000,421.8500,250742000,5920710000,10.6347,0.1057,0.0575,0.0704,-0.1177,0.1038,-0.1719,Up
2017-12-26,361.0800,384.7700,357.2700,381.5400,161342000,5605310000,5.6663,0.0575,0.0704,-0.1177,0.1038,-0.1719,-0.1092,Up
2017-12-25,339.6900,365.8700,323.2000,360.7800,119632000,5271820000,6.2086,0.0704,-0.1177,0.1038,-0.1719,-0.1092,0.2438,Up
2017-12-24,391.0100,391.0100,297.0900,337.0600,134675000,6062810000,-13.7976,-0.1177,0.1038,-0.1719,-0.1092,0.2438,-0.0112,Down
2017-12-23,349.7600,417.6500,344.3800,382.0400,190117000,5423160000,9.2292,0.1038,-0.1719,-0.1092,0.2438,-0.0112,0.0858,Up
2017-12-22,419.5300,423.4200,255.6700,346.1100,334617000,6504920000,-17.5005,-0.1719,-0.1092,0.2438,-0.0112,0.0858,0.0735,Down
2017-12-21,470.2900,470.2900,390.5500,417.9800,354021000,7291030000,-11.1229,-0.1092,0.2438,-0.0112,0.0858,0.0735,0.0480,Down
2017-12-20,375.7100,476.4000,329.9500,469.2000,498648000,5823300000,24.8836,0.2438,-0.0112,0.0858,0.0735,0.0480,-0.0396,Up
2017-12-19,381.0700,406.0300,346.9400,377.2400,317292000,5904690000,-1.0051,-0.0112,0.0858,0.0735,0.0480,-0.0396,0.0636,Down
