date,open,high,low,close,volume,marketcap,range,today,dlag1,dlag2,dlag3,dlag4,dlag5,todaydir
2017-12-31,0.9174,1.0800,0.9095,1.0300,69870100,8256740000,12.2720,0.1113,-0.1256,0.1652,-0.0368,-0.0444,-0.0214,Up
2017-12-30,1.0500,1.0500,0.8931,0.9269,73225300,9427530000,-11.7254,-0.1256,0.1652,-0.0368,-0.0444,-0.0214,-0.0288,Down
2017-12-29,0.9126,1.0600,0.8902,1.0600,105782000,8213580000,16.1491,0.1652,-0.0368,-0.0444,-0.0214,-0.0288,0.1217,Up
2017-12-28,0.9443,0.9528,0.8415,0.9097,52492700,8498790000,-3.6608,-0.0368,-0.0444,-0.0214,-0.0288,0.1217,0.1360,Down
2017-12-27,0.9836,0.9942,0.9095,0.9445,53708400,8852550000,-3.9804,-0.0444,-0.0214,-0.0288,0.1217,0.1360,-0.1823,Down
2017-12-26,0.9993,1.0100,0.9255,0.9884,65543300,8994070000,-1.0968,-0.0214,-0.0288,0.1217,0.1360,-0.1823,0.0861,Down
2017-12-25,1.0400,1.1400,0.9456,1.0100,122425000,9378680000,-2.8846,-0.0288,0.1217,0.1360,-0.1823,0.0861,-0.0254,Down
2017-12-24,0.9403,1.0400,0.7873,1.0400,98134100,8462550000,10.6050,0.1217,0.1360,-0.1823,0.0861,-0.0254,0.1144,Up
2017-12-23,0.8366,0.9977,0.8203,0.9272,77666400,7529810000,10.8194,0.1360,-0.1823,0.0861,-0.0254,0.1144,0.2302,Up
2017-12-22,1.0100,1.0300,0.5927,0.8162,187781000,9100960000,-19.1904,-0.1823,0.0861,-0.0254,0.1144,0.2302,0.0453,Down
2017-12-21,0.9500,1.0500,0.9135,0.9981,112835000,8549700000,5.0671,0.0861,-0.0254,0.1144,0.2302,0.0453,0.1102,Up
2017-12-20,0.9414,1.0400,0.8157,0.9190,119243000,8472610000,-2.3800,-0.0254,0.1144,0.2302,0.0453,0.1102,-0.0285,Down
2017-12-19,0.8514,1.0600,0.8514,0.9430,242843000,7662510000,10.7556,0.1144,0.2302,0.0453,0.1102,-0.0285,0.1645,Up
2017-12-18,0.6867,0.8462,0.6845,0.8462,114759000,6179970000,23.2326,0.2302,0.0453,0.1102,-0.0285,0.1645,-0.0190,Up
2017-12-17,0.6564,0.7478,0.6441,0.6878,83063900,5907670000,4.7865,0.0453,0.1102,-0.0285,0.1645,-0.0190,0.0887,Up
2017-12-16,0.5877,0.7163,0.5789,0.6580,99889000,5288890000,11.9703,0.1102,-0.0285,0.1645,-0.0190,0.0887,0.2451,Up
2017-12-15,0.6014,0.6102,0.5038,0.5927,69296200,5412800000,-1.4532,-0.0285,0.1645,-0.0190,0.0887,0.2451,-0.1156,Down
2017-12-14,0.5360,0.6161,0.5153,0.6100,87375200,4823690000,13.8218,0.1645,-0.0190,0.0887,0.2451,-0.1156,-0.3033,Up
2017-12-13,0.5293,0.5563,0.4996,0.5239,56148600,4763320000,-1.0203,-0.0190,0.0887,0.2451,-0.1156,-0.3033,1.7063,Down
2017-12-12,0.4953,0.5742,0.4611,0.5340,106068000,4458080000,7.8079,0.0887,0.2451,-0.1156,-0.3033,1.7063,-0.1258,Up
2017-12-11,0.3939,0.5040,0.3939,0.4905,71627100,3545280000,24.5253,0.2451,-0.1156,-0.3033,1.7063,-0.1258,-0.1030,Up
2017-12-10,0.4447,0.4447,0.3343,0.3940,77311800,4002320000,-11.4090,-0.1156,-0.3033,1.7063,-0.1258,-0.1030,0.0540,Down
2017-12-09,0.6842,0.6842,0.3853,0.4455,211103000,6157700000,-34.8889,-0.3033,1.7063,-0.1258,-0.1030,0.0540,0.0361,Down
2017-12-08,0.2350,0.6568,0.2192,0.6394,267451000,2115340000,172.0620,1.7063,-0.1258,-0.1030,0.0540,0.0361,0.0935,Up
2017-12-07,0.2714,0.2757,0.2309,0.2363,30563700,2442770000,-12.9453,-0.1258,-0.1030,0.0540,0.0361,0.0935,0.0532,Down
2017-12-06,0.2997,0.2997,0.2596,0.2703,29788400,2697300000,-9.8115,-0.1030,0.0540,0.0361,0.0935,0.0532,0.0569,Down
2017-12-05,0.2859,0.3098,0.2742,0.3013,27918500,2573250000,5.3907,0.0540,0.0361,0.0935,0.0532,0.0569,0.0384,Up
2017-12-04,0.2771,0.2884,0.2656,0.2859,19193300,2494140000,3.1599,0.0361,0.0935,0.0532,0.0569,0.0384,-0.1222,Up
2017-12-03,0.2518,0.2858,0.2491,0.2759,44340300,2266360000,9.5692,0.0935,0.0532,0.0569,0.0384,-0.1222,0.0990,Up
