date,open,high,low,close,volume,marketcap,range,today,dlag1,dlag2,dlag3,dlag4,dlag5,todaydir
2017-12-31,72.5600,78.0100,67.6900,75.9600,181357000,4716090000,4.6858,0.0492,-0.0203,0.1295,-0.0217,0.0208,-0.0121,Up
2017-12-30,74.1800,74.5400,63.0200,72.4000,202377000,4821840000,-2.3996,-0.0203,0.1295,-0.0217,0.0208,-0.0121,0.1109,Down
2017-12-29,65.7000,74.8200,63.1400,73.9000,163331000,4270520000,12.4810,0.1295,-0.0217,0.0208,-0.0121,0.1109,0.0136,Up
2017-12-28,66.7600,66.9400,58.2200,65.4300,135592000,4339530000,-1.9922,-0.0217,0.0208,-0.0121,0.1109,0.0136,0.0599,Down
2017-12-27,65.5300,70.2900,62.8800,66.8800,153715000,4259210000,2.0601,0.0208,-0.0121,0.1109,0.0136,0.0599,-0.2214,Up
2017-12-26,66.6100,68.8000,61.8600,65.5200,195466000,4329390000,-1.6364,-0.0121,0.1109,0.0136,0.0599,-0.2214,-0.0562,Down
2017-12-25,60.2700,68.3700,58.3900,66.3200,170538000,3917400000,10.0382,0.1109,0.0136,0.0599,-0.2214,-0.0562,0.0679,Up
2017-12-24,59.3200,59.9700,51.8400,59.7000,160158000,3855900000,0.6406,0.0136,0.0599,-0.2214,-0.0562,0.0679,-0.0830,Up
2017-12-23,56.3200,67.7500,56.3200,58.9000,146282000,3660710000,4.5810,0.0599,-0.2214,-0.0562,0.0679,-0.0830,0.1338,Up
2017-12-22,71.5400,72.2800,43.3900,55.5700,297579000,4650220000,-22.3232,-0.2214,-0.0562,0.0679,-0.0830,0.1338,0.3674,Down
2017-12-21,76.1200,79.0400,67.4900,71.3700,225272000,4948010000,-6.2401,-0.0562,0.0679,-0.0830,0.1338,0.3674,0.0379,Down
2017-12-20,71.3100,77.5000,63.1000,75.6200,305912000,4634920000,6.0440,0.0679,-0.0830,0.1338,0.3674,0.0379,-0.0520,Up
2017-12-19,77.1900,82.1000,66.5900,70.8100,290083000,5017420000,-8.2653,-0.0830,0.1338,0.3674,0.0379,-0.0520,0.1297,Down
2017-12-18,68.4500,81.0600,63.9600,77.2200,437849000,4449540000,12.8123,0.1338,0.3674,0.0379,-0.0520,0.1297,0.1089,Up
2017-12-17,49.7400,71.7200,49.7400,68.1100,500799000,3233120000,36.9320,0.3674,0.0379,-0.0520,0.1297,0.1089,0.1263,Up
2017-12-16,48.1400,52.2600,46.9300,49.8100,164723000,3129270000,3.4690,0.0379,-0.0520,0.1297,0.1089,0.1263,0.0772,Up
2017-12-15,50.5400,51.2400,43.1300,47.9900,204065000,3285020000,-5.0455,-0.0520,0.1297,0.1089,0.1263,0.0772,-0.0672,Down
2017-12-14,44.9000,53.6500,44.4000,50.6200,313147000,2918700000,12.7394,0.1297,0.1089,0.1263,0.0772,-0.0672,-0.0154,Up
2017-12-13,40.7300,49.0700,37.4900,44.8100,294500000,2647620000,10.0172,0.1089,0.1263,0.0772,-0.0672,-0.0154,0.0404,Up
2017-12-12,36.2200,41.2800,35.3200,40.4100,132796000,2354370000,11.5682,0.1263,0.0772,-0.0672,-0.0154,0.0404,-0.0085,Up
2017-12-11,33.3200,36.5700,33.3200,35.8800,77323800,2165750000,7.6831,0.0772,-0.0672,-0.0154,0.0404,-0.0085,-0.0943,Up
2017-12-10,35.7900,35.7900,32.5100,33.3100,72133600,2326550000,-6.9293,-0.0672,-0.0154,0.0404,-0.0085,-0.0943,-0.0794,Down
2017-12-09,35.9600,38.9800,34.8700,35.7100,93255300,2337250000,-0.6952,-0.0154,0.0404,-0.0085,-0.0943,-0.0794,0.1516,Down
2017-12-08,34.8400,37.3800,32.3600,36.2700,125450000,2264560000,4.1045,0.0404,-0.0085,-0.0943,-0.0794,0.1516,0.0442,Up
2017-12-07,35.0400,37.2600,33.3100,34.8600,125301000,2277340000,-0.5137,-0.0085,-0.0943,-0.0794,0.1516,0.0442,-0.0215,Down
2017-12-06,38.7500,38.8500,34.4000,35.1600,118745000,2518460000,-9.2645,-0.0943,-0.0794,0.1516,0.0442,-0.0215,0.0874,Down
2017-12-05,41.9900,42.7900,38.8200,38.8200,101480000,2729160000,-7.5494,-0.0794,0.1516,0.0442,-0.0215,0.0874,0.0211,Down
2017-12-04,36.6500,43.0000,36.6200,42.1700,160430000,2382160000,15.0614,0.1516,0.0442,-0.0215,0.0874,0.0211,-0.1523,Up
2017-12-03,35.0900,39.5200,35.0300,36.6200,79801700,2281180000,4.3602,0.0442,-0.0215,0.0874,0.0211,-0.1523,-0.0511,Up
2017-12-02,35.8400,36.6100,34.5100,35.0700,48991700,2329690000,-2.1484,-0.0215,0.0874,0.0211,-0.1523,-0.0511,0.0440,Down
2017-12-01,32.8900,36.2300,31.3600,35.8400,89359700,2137790000,8.9693,0.0874,0.0211,-0.1523,-0.0511,0.0440,0.0081,Up
2017-11-30,32.5400,34.9800,30.0900,32.9600,78895100,2115360000,1.2907,0.0211,-0.1523,-0.0511,0.0440,0.0081,0.0960,Up
2017-11-29,37.9900,39.4400,31.2300,32.2800,137123000,2469340000,-15.0303,-0.1523,-0.0511,0.0440,0.0081,0.0960,-0.0032,Down
