date,open,high,low,close,volume,marketcap,range,today,dlag1,dlag2,dlag3,dlag4,dlag5,todaydir
2017-12-31,60.2000,65.0100,59.2000,62.4000,690938000,4441130000.0000,3.6545,0.0316,0.0303,0.0441,0.0392,-0.0329,-0.0368,Up
2017-12-30,58.6800,67.6900,54.3600,60.4900,1203780000,4329060000.0000,3.0845,0.0303,0.0441,0.0392,-0.0329,-0.0368,0.0830,Up
2017-12-29,56.3500,60.4700,53.3300,58.7100,876085000,4156560000.0000,4.1881,0.0441,0.0392,-0.0329,-0.0368,0.0830,-0.0632,Up
2017-12-28,54.4400,56.6400,46.4100,56.2300,838698000,4015530000.0000,3.2880,0.0392,-0.0329,-0.0368,0.0830,-0.0632,0.1572,Up
2017-12-27,55.7600,56.3900,52.7200,54.1100,539542000,4113280000.0000,-2.9591,-0.0329,-0.0368,0.0830,-0.0632,0.1572,-0.2049,Down
2017-12-26,58.2200,59.9900,55.4200,55.9500,652554000,4294180000.0000,-3.8990,-0.0368,0.0830,-0.0632,0.1572,-0.2049,-0.0222,Down
2017-12-25,54.0000,59.7900,51.2300,58.0900,976115000,3982900000.0000,7.5741,0.0830,-0.0632,0.1572,-0.2049,-0.0222,-0.0607,Up
2017-12-24,56.7100,57.3700,49.0000,53.6400,692470000,4182730000.0000,-5.4135,-0.0632,0.1572,-0.2049,-0.0222,-0.0607,0.3067,Down
2017-12-23,50.8400,60.2000,50.7100,57.2600,913925000,3749710000.0000,12.6279,0.1572,-0.2049,-0.0222,-0.0607,0.3067,0.7505,Up
2017-12-22,63.2700,63.2700,36.3500,49.4800,1101630000,4665870000.0000,-21.7955,-0.2049,-0.0222,-0.0607,0.3067,0.7505,0.0214,Down
2017-12-21,63.8200,69.2400,56.8700,62.2300,905593000,4706660000.0000,-2.4914,-0.0222,-0.0607,0.3067,0.7505,0.0214,-0.0504,Down
2017-12-20,67.7200,69.0700,57.7100,63.6400,1025680000,4994350000.0000,-6.0248,-0.0607,0.3067,0.7505,0.0214,-0.0504,0.4912,Down
2017-12-19,51.9600,77.7500,51.3000,67.7500,2134470000,3831880000.0000,30.3888,0.3067,0.7505,0.0214,-0.0504,0.4912,0.1831,Up
2017-12-18,29.6600,56.0600,27.8400,51.8500,2427870000,2187330000.0000,74.8146,0.7505,0.0214,-0.0504,0.4912,0.1831,0.1728,Up
2017-12-17,29.1900,30.3000,28.6300,29.6200,399361000,2152090000.0000,1.4731,0.0214,-0.0504,0.4912,0.1831,0.1728,0.0893,Up
2017-12-16,30.1500,31.5300,28.4800,29.0000,609254000,2222900000.0000,-3.8143,-0.0504,0.4912,0.1831,0.1728,0.0893,0.2262,Down
2017-12-15,20.6800,32.6500,17.6900,30.5400,1227400000,1524900000.0000,47.6789,0.4912,0.1831,0.1728,0.0893,0.2262,-0.0853,Up
2017-12-14,17.1600,20.6300,17.0200,20.4800,389613000,1264910000.0000,19.3473,0.1831,0.1728,0.0893,0.2262,-0.0853,-0.0555,Up
2017-12-13,14.8100,19.2900,14.8000,17.3100,541413000,1091760000.0000,16.8805,0.1728,0.0893,0.2262,-0.0853,-0.0555,0.0183,Up
