date,open,high,low,close,volume,marketcap,range,today,dlag1,dlag2,dlag3,dlag4,dlag5,todaydir
2017-12-31,2.1000,2.3900,1.8700,2.3000,4642080000,81162600000,9.5238,0.0648,-0.0226,0.5455,0.0214,0.1765,0.0625,Up
2017-12-30,2.2000,2.8500,2.0400,2.1600,8108390000,85187400000,-1.8182,-0.0226,0.5455,0.0214,0.1765,0.0625,0.0769,Down
2017-12-29,1.4400,2.2700,1.4400,2.2100,7545740000,55767500000,53.4722,0.5455,0.0214,0.1765,0.0625,0.0769,-0.1111,Up
2017-12-28,1.3900,1.5000,1.2600,1.4300,2843300000,53998200000,2.8777,0.0214,0.1765,0.0625,0.0769,-0.1111,0.0263,Up
2017-12-27,1.1800,1.4700,1.1800,1.4000,2854260000,45875700000,18.6441,0.1765,0.0625,0.0769,-0.1111,0.0263,-0.0420,Up
2017-12-26,1.1200,1.1900,1.0900,1.1900,938847000,43455400000,6.2500,0.0625,0.0769,-0.1111,0.0263,-0.0420,0.5336,Up
2017-12-25,1.0500,1.1300,1.0000,1.1200,686014000,40506000000,6.6667,0.0769,-0.1111,0.0263,-0.0420,0.5336,-0.0193,Up
2017-12-24,1.1800,1.1800,0.9112,1.0400,754959000,45541100000,-11.8644,-0.1111,0.0263,-0.0420,0.5336,-0.0193,0.0165,Down
2017-12-23,1.1700,1.2100,1.0800,1.1700,1497590000,45167600000,0.0000,0.0263,-0.0420,0.5336,-0.0193,0.0165,0.0687,Up
2017-12-22,1.1700,1.3800,0.7410,1.1400,4644700000,45189500000,-2.5641,-0.0420,0.5336,-0.0193,0.0165,0.0687,-0.0399,Down
2017-12-21,0.7825,1.2400,0.7825,1.1900,3626110000,30314000000,52.0738,0.5336,-0.0193,0.0165,0.0687,-0.0399,0.0033,Up
2017-12-20,0.7872,0.7890,0.7310,0.7760,1007420000,30494300000,-1.4237,-0.0193,0.0165,0.0687,-0.0399,0.0033,-0.1251,Down
2017-12-19,0.7774,0.8635,0.7567,0.7913,1449670000,30117600000,1.7763,0.0165,0.0687,-0.0399,0.0033,-0.1251,0.8347,Up
2017-12-18,0.7280,0.7920,0.6893,0.7784,1342720000,28203500000,6.9188,0.0687,-0.0399,0.0033,-0.1251,0.8347,0.2611,Up
2017-12-17,0.7541,0.7660,0.7199,0.7284,805200000,29214200000,-3.4157,-0.0399,0.0033,-0.1251,0.8347,0.2611,0.4841,Down
2017-12-16,0.7555,0.8159,0.7417,0.7586,1334770000,29267100000,0.4168,0.0033,-0.1251,0.8347,0.2611,0.4841,0.0605,Up
2017-12-15,0.8618,0.8618,0.6661,0.7562,3194210000,33383900000,-12.2516,-0.1251,0.8347,0.2611,0.4841,0.0605,-0.0301,Down
2017-12-14,0.4706,0.8923,0.4664,0.8643,6358700000,18232500000,83.6326,0.8347,0.2611,0.4841,0.0605,-0.0301,-0.0294,Up
2017-12-13,0.3727,0.5138,0.3430,0.4711,2738760000,14437600000,26.3957,0.2611,0.4841,0.0605,-0.0301,-0.0294,0.1315,Up
2017-12-12,0.2523,0.4341,0.2510,0.3735,1555040000,9772240000,48.0790,0.4841,0.0605,-0.0301,-0.0294,0.1315,-0.0418,Up
2017-12-11,0.2366,0.2528,0.2358,0.2517,176101000,9164670000,6.3900,0.0605,-0.0301,-0.0294,0.1315,-0.0418,-0.0551,Up
2017-12-10,0.2455,0.2455,0.2293,0.2373,198174000,9512330000,-3.3456,-0.0301,-0.0294,0.1315,-0.0418,-0.0551,-0.0295,Down
2017-12-09,0.2522,0.2557,0.2401,0.2447,205289000,9768540000,-2.9560,-0.0294,0.1315,-0.0418,-0.0551,-0.0295,0.0040,Down
2017-12-08,0.2236,0.2787,0.2222,0.2521,660172000,8663460000,12.7390,0.1315,-0.0418,-0.0551,-0.0295,0.0040,-0.0115,Up
2017-12-07,0.2326,0.2338,0.2213,0.2228,275205000,9011630000,-4.2128,-0.0418,-0.0551,-0.0295,0.0040,-0.0115,-0.0008,Down
