date,open,high,low,close,volume,marketcap,range,today,dlag1,dlag2,dlag3,dlag4,dlag5,todaydir
2017-12-31,0.3178,0.3643,0.3075,0.3608,183768000,5676400000,13.5002,0.1162,0.0008,0.4446,-0.0248,0.0142,-0.0109,Up
2017-12-30,0.3165,0.3904,0.2891,0.3232,537916000,5651880000,2.1262,0.0008,0.4446,-0.0248,0.0142,-0.0109,0.0181,Up
2017-12-29,0.2238,0.3358,0.2227,0.3229,387880000,3996450000,44.3131,0.4446,-0.0248,0.0142,-0.0109,0.0181,-0.0415,Up
2017-12-28,0.2278,0.2284,0.2005,0.2235,75925400,4068660000,-1.8774,-0.0248,0.0142,-0.0109,0.0181,-0.0415,0.0806,Down
2017-12-27,0.2263,0.2333,0.2167,0.2292,78509400,4040790000,1.3095,0.0142,-0.0109,0.0181,-0.0415,0.0806,-0.1574,Up
2017-12-26,0.2286,0.2329,0.2110,0.2260,96759300,4083400000,-1.1507,-0.0109,0.0181,-0.0415,0.0806,-0.1574,0.0191,Down
2017-12-25,0.2265,0.2345,0.2127,0.2285,71737300,4045700000,0.8709,0.0181,-0.0415,0.0806,-0.1574,0.0191,-0.0451,Up
2017-12-24,0.2368,0.2372,0.1982,0.2245,71071600,4228850000,-5.2126,-0.0415,0.0806,-0.1574,0.0191,-0.0451,-0.0433,Down
2017-12-23,0.2208,0.2635,0.2137,0.2342,116122000,3943440000,6.0536,0.0806,-0.1574,0.0191,-0.0451,-0.0433,0.0362,Up
2017-12-22,0.2585,0.2762,0.1615,0.2167,229459000,4616600000,-16.1656,-0.1574,0.0191,-0.0451,-0.0433,0.0362,0.1486,Down
2017-12-21,0.2529,0.2808,0.2407,0.2572,199122000,4516350000,1.7027,0.0191,-0.0451,-0.0433,0.0362,0.1486,0.1851,Up
2017-12-20,0.2648,0.2652,0.2137,0.2524,250599000,4729210000,-4.6927,-0.0451,-0.0433,0.0362,0.1486,0.1851,0.0368,Down
2017-12-19,0.2760,0.3005,0.2460,0.2643,212549000,4927630000,-4.2414,-0.0433,0.0362,0.1486,0.1851,0.0368,0.2649,Down
2017-12-18,0.2732,0.2781,0.2572,0.2763,201721000,4876760000,1.1407,0.0362,0.1486,0.1851,0.0368,0.2649,-0.0454,Up
2017-12-17,0.2347,0.3007,0.2280,0.2666,423361000,4189510000,13.6143,0.1486,0.1851,0.0368,0.2649,-0.0454,0.0793,Up
2017-12-16,0.1961,0.2366,0.1903,0.2321,234173000,3500490000,18.3846,0.1851,0.0368,0.2649,-0.0454,0.0793,0.2154,Up
2017-12-15,0.1986,0.2047,0.1640,0.1959,260229000,3544830000,-1.3613,0.0368,0.2649,-0.0454,0.0793,0.2154,-0.1174,Up
