date,open,high,low,close,volume,marketcap,range,today,dlag1,dlag2,dlag3,dlag4,dlag5,todaydir
2017-12-31,12.8600,14.3200,12.6500,14.0300,27243700,1269020000,9.0980,0.0792,-0.1419,0.0654,0.0275,-0.0724,-0.0248,Up
2017-12-30,15.1300,15.1300,12.0500,13.0000,33165200,1493000000,-14.0780,-0.1419,0.0654,0.0275,-0.0724,-0.0248,0.0707,Down
2017-12-29,14.4400,15.8900,13.9900,15.1500,45160700,1425150000,4.9169,0.0654,0.0275,-0.0724,-0.0248,0.0707,0.0793,Up
2017-12-28,13.7800,14.6500,11.4500,14.2200,61972200,1360020000,3.1930,0.0275,-0.0724,-0.0248,0.0707,0.0793,0.3347,Up
2017-12-27,14.9800,14.9800,13.2300,13.8400,47212900,1477840000,-7.6101,-0.0724,-0.0248,0.0707,0.0793,0.3347,-0.2328,Down
2017-12-26,15.1500,16.1200,13.6700,14.9200,87781700,1494590000,-1.5182,-0.0248,0.0707,0.0793,0.3347,-0.2328,0.1555,Down
2017-12-25,14.3900,16.5400,13.0000,15.3000,79274800,1420150000,6.3238,0.0707,0.0793,0.3347,-0.2328,0.1555,-0.0667,Up
2017-12-24,13.4900,15.5400,12.2500,14.2900,98855000,1331470000,5.9303,0.0793,0.3347,-0.2328,0.1555,-0.0667,-0.0537,Up
2017-12-23,10.0200,16.0400,9.7100,13.2400,111333000,988665000,32.1357,0.3347,-0.2328,0.1555,-0.0667,-0.0537,0.1252,Up
2017-12-22,12.9100,13.1600,7.6100,9.9200,57832900,1274250000,-23.1603,-0.2328,0.1555,-0.0667,-0.0537,0.1252,0.0416,Down
2017-12-21,11.2200,14.2700,11.1700,12.9300,120408000,1107160000,15.2406,0.1555,-0.0667,-0.0537,0.1252,0.0416,0.0930,Up
2017-12-20,11.9700,12.0300,10.2300,11.1900,52126800,1181220000,-6.5163,-0.0667,-0.0537,0.1252,0.0416,0.0930,0.0112,Down
2017-12-19,12.7600,13.3200,11.4600,11.9900,74910100,1259130000,-6.0345,-0.0537,0.1252,0.0416,0.0930,0.0112,0.0252,Down
2017-12-18,11.2600,14.0000,10.8000,12.6700,139841000,1110720000,12.5222,0.1252,0.0416,0.0930,0.0112,0.0252,-0.0610,Up
2017-12-17,10.5800,11.7600,10.4500,11.2600,58303400,1044250000,6.4272,0.0416,0.0930,0.0112,0.0252,-0.0610,-0.0531,Up
2017-12-16,9.8500,10.8700,9.6800,10.8100,40692300,972032000,9.7462,0.0930,0.0112,0.0252,-0.0610,-0.0531,0.1663,Up
2017-12-15,9.8100,9.9500,8.7900,9.8900,37830600,968078000,0.8155,0.0112,0.0252,-0.0610,-0.0531,0.1663,0.0044,Up
2017-12-14,9.4500,10.0400,9.1400,9.7800,38710200,932217000,3.4921,0.0252,-0.0610,-0.0531,0.1663,0.0044,0.0155,Up
2017-12-13,10.1300,10.2500,9.1600,9.5400,35347700,999159000,-5.8243,-0.0610,-0.0531,0.1663,0.0044,0.0155,0.0204,Down
2017-12-12,10.7700,10.9500,9.7100,10.1600,57930500,1062330000,-5.6639,-0.0531,0.1663,0.0044,0.0155,0.0204,0.1693,Down
2017-12-11,9.2100,11.4100,8.8600,10.7300,67994100,908593000,16.5038,0.1663,0.0044,0.0155,0.0204,0.1693,0.0134,Up
2017-12-10,9.2300,9.8200,7.0200,9.2000,49244800,910546000,-0.3250,0.0044,0.0155,0.0204,0.1693,0.0134,-0.0027,Up
2017-12-09,9.0000,10.2600,8.0600,9.1600,40892300,887916000,1.7778,0.0155,0.0204,0.1693,0.0134,-0.0027,0.2222,Up
2017-12-08,8.8000,10.0000,7.5700,9.0200,67156200,867847000,2.5000,0.0204,0.1693,0.0134,-0.0027,0.2222,0.0355,Up
2017-12-07,7.5700,10.8800,6.9000,8.8400,165329000,746695000,16.7768,0.1693,0.0134,-0.0027,0.2222,0.0355,0.0460,Up
