date,open,high,low,close,volume,marketcap,range,today,dlag1,dlag2,dlag3,dlag4,dlag5,todaydir
2017-12-31,11.7000,12.8000,11.5400,12.6000,50113900,1169780000,7.6923,0.0669,-0.1342,0.0732,-0.0641,-0.0437,-0.0056,Up
2017-12-30,13.6400,13.7900,10.9500,11.8100,49173200,1363620000,-13.4164,-0.1342,0.0732,-0.0641,-0.0437,-0.0056,0.0340,Down
2017-12-29,12.8700,14.0300,12.4400,13.6400,64926900,1286750000,5.9829,0.0732,-0.0641,-0.0437,-0.0056,0.0340,-0.0322,Up
2017-12-28,13.5800,13.6200,11.7300,12.7100,48273000,1358300000,-6.4065,-0.0641,-0.0437,-0.0056,0.0340,-0.0322,0.1398,Down
2017-12-27,14.3200,14.4300,13.1800,13.5800,54343300,1432160000,-5.1676,-0.0437,-0.0056,0.0340,-0.0322,0.1398,-0.2190,Down
2017-12-26,14.3100,15.1500,13.6800,14.2000,65504500,1431340000,-0.7687,-0.0056,0.0340,-0.0322,0.1398,-0.2190,0.0539,Down
2017-12-25,13.9300,14.4600,13.1300,14.2800,65545300,1393480000,2.5126,0.0340,-0.0322,0.1398,-0.2190,0.0539,-0.0428,Up
2017-12-24,14.4700,14.5400,12.2500,13.8100,59222600,1447000000,-4.5612,-0.0322,0.1398,-0.2190,0.0539,-0.0428,0.0179,Down
2017-12-23,12.6700,15.7900,12.4800,14.2700,88401100,1267050000,12.6283,0.1398,-0.2190,0.0539,-0.0428,0.0179,0.1529,Up
2017-12-22,16.1400,16.4200,9.8200,12.5200,71699500,1613900000,-22.4287,-0.2190,0.0539,-0.0428,0.0179,0.1529,0.0104,Down
2017-12-21,15.2900,16.5300,14.5400,16.0300,90875600,1529020000,4.8398,0.0539,-0.0428,0.0179,0.1529,0.0104,0.0237,Up
2017-12-20,16.0200,16.2600,13.9000,15.2100,81905700,1602310000,-5.0562,-0.0428,0.0179,0.1529,0.0104,0.0237,-0.0403,Down
2017-12-19,15.6300,18.0700,14.5100,15.8900,114641000,1563340000,1.6635,0.0179,0.1529,0.0104,0.0237,-0.0403,-0.0007,Up
2017-12-18,13.6300,15.7200,13.0900,15.6100,102357000,1363160000,14.5268,0.1529,0.0104,0.0237,-0.0403,-0.0007,-0.0814,Up
2017-12-17,13.3900,14.1600,13.1700,13.5400,64376200,1339200000,1.1202,0.0104,0.0237,-0.0403,-0.0007,-0.0814,0.3244,Up
2017-12-16,13.5600,13.7300,12.8100,13.4000,69311000,1355530000,-1.1799,0.0237,-0.0403,-0.0007,-0.0814,0.3244,0.1496,Up
2017-12-15,13.5500,14.0800,11.7600,13.0900,95357500,1354620000,-3.3948,-0.0403,-0.0007,-0.0814,0.3244,0.1496,0.1193,Down
2017-12-14,13.5600,14.0200,12.4300,13.6400,55002000,1355560000,0.5900,-0.0007,-0.0814,0.3244,0.1496,0.1193,0.0381,Down
2017-12-13,15.2300,15.6200,13.5000,13.6500,75995500,1523380000,-10.3743,-0.0814,0.3244,0.1496,0.1193,0.0381,-0.0141,Down
2017-12-12,11.2300,15.2000,10.8900,14.8600,103848000,1122860000,32.3241,0.3244,0.1496,0.1193,0.0381,-0.0141,0.0107,Up
2017-12-11,9.7300,11.3300,9.6500,11.2200,74140500,972864000,15.3135,0.1496,0.1193,0.0381,-0.0141,0.0107,0.1346,Up
