date,open,high,low,close,volume,marketcap,range,today,dlag1,dlag2,dlag3,dlag4,dlag5,todaydir
2017-12-31,482.8200,516.3600,478.6300,505.5100,95277100,1424590000,4.6995,0.0392,-0.1494,0.1274,-0.0845,-0.0347,0.0271,Up
2017-12-30,574.1000,574.1000,478.6600,486.4500,143776000,1689880000,-15.2674,-0.1494,0.1274,-0.0845,-0.0347,0.0271,0.0495,Down
2017-12-29,507.9700,601.5000,483.9900,571.9000,227427000,1491580000,12.5854,0.1274,-0.0845,-0.0347,0.0271,0.0495,-0.1045,Up
2017-12-28,552.5800,560.1200,490.4000,507.2600,129796000,1618580000,-8.2015,-0.0845,-0.0347,0.0271,0.0495,-0.1045,0.1080,Down
2017-12-27,574.1600,590.1600,540.6200,554.0700,143217000,1677730000,-3.4990,-0.0347,0.0271,0.0495,-0.1045,0.1080,-0.1762,Down
2017-12-26,560.0000,573.9800,551.8400,573.9800,139397000,1632270000,2.4964,0.0271,0.0495,-0.1045,0.1080,-0.1762,-0.0356,Up
2017-12-25,536.1300,575.1600,511.0300,558.8400,139365000,1558920000,4.2359,0.0495,-0.1045,0.1080,-0.1762,-0.0356,0.1004,Up
2017-12-24,595.3900,595.3900,449.0300,532.5000,142136000,1726960000,-10.5628,-0.1045,0.1080,-0.1762,-0.0356,0.1004,0.0298,Down
2017-12-23,542.1900,637.2400,498.7700,594.6200,231311000,1568750000,9.6700,0.1080,-0.1762,-0.0356,0.1004,0.0298,0.1098,Up
2017-12-22,652.9200,656.0200,381.4800,536.6800,351521000,1884510000,-17.8031,-0.1762,-0.0356,0.1004,0.0298,0.1098,0.1438,Down
2017-12-21,674.6600,743.9600,622.9200,651.4900,279558000,1942370000,-3.4343,-0.0356,0.1004,0.0298,0.1098,0.1438,0.0053,Down
2017-12-20,613.2900,740.6900,555.8100,675.5500,305316000,1761330000,10.1518,0.1004,0.0298,0.1098,0.1438,0.0053,-0.0857,Up
2017-12-19,595.7900,635.5500,560.3900,613.9100,287417000,1706810000,3.0413,0.0298,0.1098,0.1438,0.0053,-0.0857,0.2320,Up
2017-12-18,538.4500,600.6900,497.3100,596.1600,348897000,1538680000,10.7178,0.1098,0.1438,0.0053,-0.0857,0.2320,0.1117,Up
2017-12-17,471.6300,562.0000,470.3600,537.1800,305008000,1344370000,13.8986,0.1438,0.0053,-0.0857,0.2320,0.1117,0.1659,Up
2017-12-16,469.3900,498.3300,459.9200,469.6400,150140000,1334630000,0.0533,0.0053,-0.0857,0.2320,0.1117,0.1659,0.0991,Up
2017-12-15,510.8200,510.8200,423.7300,467.1500,220484000,1448690000,-8.5490,-0.0857,0.2320,0.1117,0.1659,0.0991,-0.0806,Down
2017-12-14,416.4100,529.7700,415.5000,510.9100,423033000,1177960000,22.6940,0.2320,0.1117,0.1659,0.0991,-0.0806,-0.0349,Up
2017-12-13,372.1300,437.2400,356.1200,414.6900,265914000,1050030000,11.4369,0.1117,0.1659,0.0991,-0.0806,-0.0349,0.0638,Up
2017-12-12,320.5500,379.1200,320.5500,373.0300,191288000,902200000,16.3719,0.1659,0.0991,-0.0806,-0.0349,0.0638,-0.0899,Up
2017-12-11,290.0300,323.3600,284.7000,319.9600,115200000,814205000,10.3196,0.0991,-0.0806,-0.0349,0.0638,-0.0899,0.0479,Up
2017-12-10,317.2800,321.5500,288.4000,291.1000,107504000,888438000,-8.2514,-0.0806,-0.0349,0.0638,-0.0899,0.0479,-0.0215,Down
2017-12-09,327.7800,353.3500,309.2500,316.6300,132799000,915507000,-3.4017,-0.0349,0.0638,-0.0899,0.0479,-0.0215,0.0239,Down
2017-12-08,308.0400,339.9900,295.0200,328.0700,127793000,858140000,6.5024,0.0638,-0.0899,0.0479,-0.0215,0.0239,-0.0197,Up
2017-12-07,339.8700,341.8000,301.8700,308.3900,125668000,944355000,-9.2624,-0.0899,0.0479,-0.0215,0.0239,-0.0197,-0.0199,Down
2017-12-06,322.9200,372.8500,319.5700,338.8700,206504000,895026000,4.9393,0.0479,-0.0215,0.0239,-0.0197,-0.0199,0.0891,Up
2017-12-05,330.9600,331.0500,319.0000,323.3900,72757600,914876000,-2.2873,-0.0215,0.0239,-0.0197,-0.0199,0.0891,0.0079,Down
2017-12-04,323.0800,333.3900,316.0200,330.5100,61649200,890812000,2.2997,0.0239,-0.0197,-0.0199,0.0891,0.0079,-0.1755,Up
2017-12-03,329.5300,341.8400,311.2700,322.8100,85387900,906261000,-2.0393,-0.0197,-0.0199,0.0891,0.0079,-0.1755,0.0683,Down
2017-12-02,335.3800,342.7300,320.1100,329.3000,63555100,919935000,-1.8129,-0.0199,0.0891,0.0079,-0.1755,0.0683,0.0217,Down
2017-12-01,306.1900,338.1100,292.6300,335.9800,78854200,837670000,9.7293,0.0891,0.0079,-0.1755,0.0683,0.0217,-0.0132,Up
2017-11-30,309.4200,330.7800,267.7000,308.4900,93494200,844333000,-0.3006,0.0079,-0.1755,0.0683,0.0217,-0.0132,-0.0048,Up
2017-11-29,371.1700,380.5700,300.7300,306.0700,157702000,1010140000,-17.5391,-0.1755,0.0683,0.0217,-0.0132,-0.0048,0.1117,Down
2017-11-28,347.6600,375.4200,346.1200,371.2400,127136000,943652000,6.7825,0.0683,0.0217,-0.0132,-0.0048,0.1117,-0.0256,Up
2017-11-27,340.1800,347.5100,332.8500,347.5100,90891200,920947000,2.1547,0.0217,-0.0132,-0.0048,0.1117,-0.0256,0.1001,Up
2017-11-26,344.8300,346.8000,333.7100,340.1400,81416400,931073000,-1.3601,-0.0132,-0.0048,0.1117,-0.0256,0.1001,-0.0382,Down
2017-11-25,348.5900,359.8600,336.8400,344.7000,120059000,938711000,-1.1159,-0.0048,0.1117,-0.0256,0.1001,-0.0382,0.0095,Down
2017-11-24,310.4400,351.5000,301.5600,346.3600,153182000,833750000,11.5707,0.1117,-0.0256,0.1001,-0.0382,0.0095,0.0040,Up
2017-11-23,319.4500,320.5400,303.1600,311.5500,102568000,855647000,-2.4730,-0.0256,0.1001,-0.0382,0.0095,0.0040,0.0239,Down
2017-11-22,290.8900,321.2800,290.8900,319.7300,139325000,777089000,9.9144,0.1001,-0.0382,0.0095,0.0040,0.0239,-0.0126,Up
2017-11-21,301.8700,307.8200,281.8500,290.6400,82637900,804205000,-3.7201,-0.0382,0.0095,0.0040,0.0239,-0.0126,0.0150,Down
2017-11-20,299.3200,304.2600,296.3600,302.1700,55245200,795282000,0.9522,0.0095,0.0040,0.0239,-0.0126,0.0150,0.0704,Up
2017-11-19,298.2200,302.5900,294.5100,299.3300,53157100,790267000,0.3722,0.0040,0.0239,-0.0126,0.0150,0.0704,0.0226,Up
2017-11-18,290.8300,304.7900,287.2000,298.1500,61087000,768597000,2.5169,0.0239,-0.0126,0.0150,0.0704,0.0226,-0.0804,Up
2017-11-17,293.3900,294.7600,283.9800,291.1900,56387900,773268000,-0.7499,-0.0126,0.0150,0.0704,0.0226,-0.0804,0.1383,Down
2017-11-16,290.2500,320.9500,288.5000,294.9100,173976000,762905000,1.6055,0.0150,0.0704,0.0226,-0.0804,0.1383,0.0661,Up
2017-11-15,271.1700,297.9200,271.1700,290.5600,89937200,710792000,7.1505,0.0704,0.0226,-0.0804,0.1383,0.0661,-0.0921,Up
2017-11-14,265.5800,275.8900,263.6400,271.4400,52265100,694229000,2.2065,0.0226,-0.0804,0.1383,0.0661,-0.0921,0.0455,Up
2017-11-13,298.7300,298.7300,258.3300,265.4500,115940000,778787000,-11.1405,-0.0804,0.1383,0.0661,-0.0921,0.0455,0.0404,Down
2017-11-12,253.6300,288.6700,231.6800,288.6700,119639000,659346000,13.8154,0.1383,0.0661,-0.0921,0.0455,0.0404,0.0533,Up
2017-11-11,238.1600,269.7200,236.2500,253.6000,68016100,617454000,6.4830,0.0661,-0.0921,0.0455,0.0404,0.0533,0.0148,Up
2017-11-10,261.9500,272.7600,231.5800,237.8800,78740400,677262000,-9.1888,-0.0921,0.0455,0.0404,0.0533,0.0148,-0.0219,Down
2017-11-09,250.5500,270.1800,244.1400,262.0000,86573400,645990000,4.5699,0.0455,0.0404,0.0533,0.0148,-0.0219,-0.0096,Up
2017-11-08,240.1300,252.3500,238.2600,250.6000,60804200,617406000,4.3601,0.0404,0.0533,0.0148,-0.0219,-0.0096,0.0663,Up
2017-11-07,228.7500,245.0200,228.2700,240.8700,55446200,586502000,5.2984,0.0533,0.0148,-0.0219,-0.0096,0.0663,-0.0191,Up
2017-11-06,225.6500,236.3400,222.3400,228.6900,47873100,576941000,1.3472,0.0148,-0.0219,-0.0096,0.0663,-0.0191,-0.0455,Up
2017-11-05,230.3200,232.7700,224.3400,225.3500,38159100,587210000,-2.1579,-0.0219,-0.0096,0.0663,-0.0191,-0.0455,-0.0340,Down
2017-11-04,232.6300,234.5100,224.8100,230.3900,36530200,591459000,-0.9629,-0.0096,0.0663,-0.0191,-0.0455,-0.0340,0.0294,Down
2017-11-03,217.8800,240.3900,216.4500,232.6300,48622200,552362000,6.7698,0.0663,-0.0191,-0.0455,-0.0340,0.0294,0.0141,Up
2017-11-02,222.9100,224.1500,212.0900,218.1600,47381200,563565000,-2.1309,-0.0191,-0.0455,-0.0340,0.0294,0.0141,-0.0550,Down
2017-11-01,233.9300,233.9300,220.3200,222.4100,47917100,589719000,-4.9246,-0.0455,-0.0340,0.0294,0.0141,-0.0550,0.0464,Down
2017-10-31,239.8600,239.9300,231.7200,233.0100,38363600,602974000,-2.8558,-0.0340,0.0294,0.0141,-0.0550,0.0464,0.0734,Down
2017-10-30,233.6300,244.4200,229.0000,241.2200,50794000,585624000,3.2487,0.0294,0.0141,-0.0550,0.0464,0.0734,0.0076,Up
2017-10-29,231.6300,238.7800,224.6400,234.3300,59020900,578982000,1.1657,0.0141,-0.0550,0.0464,0.0734,0.0076,0.0461,Up
2017-10-28,243.7200,246.6800,231.0600,231.0700,45309100,607479000,-5.1904,-0.0550,0.0464,0.0734,0.0076,0.0461,-0.0337,Down
2017-10-27,233.3300,255.9100,227.8400,244.5200,131517000,579905000,4.7958,0.0464,0.0734,0.0076,0.0461,-0.0337,0.0060,Up
2017-10-26,217.3600,235.6500,217.3600,233.6700,41638100,538633000,7.5037,0.0734,0.0076,0.0461,-0.0337,0.0060,-0.0452,Up
2017-10-25,215.9000,227.9900,208.7500,217.6900,44717900,533463000,0.8291,0.0076,0.0461,-0.0337,0.0060,-0.0452,-0.0328,Up
2017-10-24,206.5900,227.3800,205.0700,216.0400,37788300,509003000,4.5743,0.0461,-0.0337,0.0060,-0.0452,-0.0328,0.0034,Up
2017-10-23,213.4100,213.4200,201.1500,206.5200,26665700,524261000,-3.2285,-0.0337,0.0060,-0.0452,-0.0328,0.0034,-0.0086,Down
2017-10-22,212.8200,219.2800,208.3000,213.7300,26263000,521286000,0.4276,0.0060,-0.0452,-0.0328,0.0034,-0.0086,-0.0074,Up
2017-10-21,222.0500,223.3900,208.8300,212.4600,37115000,542326000,-4.3188,-0.0452,-0.0328,0.0034,-0.0086,-0.0074,0.0016,Down
2017-10-20,230.2000,234.2200,222.5200,222.5200,29093800,560579000,-3.3362,-0.0328,0.0034,-0.0086,-0.0074,0.0016,-0.0343,Down
2017-10-19,229.3900,237.6100,224.7500,230.0700,30300100,556979000,0.2964,0.0034,-0.0086,-0.0074,0.0016,-0.0343,0.0035,Up
2017-10-18,231.1500,239.3100,217.1700,229.3000,29137800,559570000,-0.8003,-0.0086,-0.0074,0.0016,-0.0343,0.0035,0.0575,Down
2017-10-17,233.1100,250.2800,227.6900,231.2800,60696400,562642000,-0.7850,-0.0074,0.0016,-0.0343,0.0035,0.0575,-0.0387,Down
2017-10-16,231.9600,235.9600,230.4500,233.0100,22198300,558212000,0.4527,0.0016,-0.0343,0.0035,0.0575,-0.0387,0.0020,Up
2017-10-15,240.6600,240.6600,228.2500,232.6300,25648400,577433000,-3.3367,-0.0343,0.0035,0.0575,-0.0387,0.0020,0.0269,Down
2017-10-14,240.0500,242.1300,238.0700,240.8900,21199600,574275000,0.3499,0.0035,0.0575,-0.0387,0.0020,0.0269,-0.0480,Up
2017-10-13,227.0500,251.0000,222.6000,240.0500,62551500,541560000,5.7256,0.0575,-0.0387,0.0020,0.0269,-0.0480,-0.0509,Up
2017-10-12,236.4400,236.9900,227.0000,227.0000,39391300,562261000,-3.9926,-0.0387,0.0020,0.0269,-0.0480,-0.0509,-0.0141,Down
2017-10-11,235.3200,240.1400,231.6400,236.1300,20522300,557915000,0.3442,0.0020,0.0269,-0.0480,-0.0509,-0.0141,0.0109,Up
2017-10-10,229.7100,242.3600,226.3600,235.6600,27876900,542934000,2.5902,0.0269,-0.0480,-0.0509,-0.0141,0.0109,0.0711,Up
2017-10-09,241.4600,242.4700,226.5700,229.4900,33586100,569009000,-4.9573,-0.0480,-0.0509,-0.0141,0.0109,0.0711,-0.0594,Down
2017-10-08,253.5200,256.2000,240.5500,241.0600,30469500,595599000,-4.9148,-0.0509,-0.0141,0.0109,0.0711,-0.0594,-0.0181,Down
2017-10-07,257.2500,257.5600,246.5300,253.9800,30163700,602523000,-1.2711,-0.0141,0.0109,0.0711,-0.0594,-0.0181,-0.0240,Down
2017-10-06,254.8500,272.7600,253.3200,257.6100,49397500,595099000,1.0830,0.0109,0.0711,-0.0594,-0.0181,-0.0240,-0.0490,Up
2017-10-05,237.6400,265.8400,227.9000,254.8200,48244700,553211000,7.2294,0.0711,-0.0594,-0.0181,-0.0240,-0.0490,-0.0434,Up
2017-10-04,253.0000,253.1400,237.3400,237.9100,22195500,587108000,-5.9644,-0.0594,-0.0181,-0.0240,-0.0490,-0.0434,-0.0659,Down
2017-10-03,258.1600,260.0000,238.3300,252.9400,36278200,597264000,-2.0220,-0.0181,-0.0240,-0.0490,-0.0434,-0.0659,0.0884,Down
2017-10-02,264.5100,273.7700,254.7400,257.6000,52062000,610037000,-2.6124,-0.0240,-0.0490,-0.0434,-0.0659,0.0884,0.2328,Down
2017-10-01,277.3500,279.6800,263.9400,263.9400,33546100,637677000,-4.8350,-0.0490,-0.0434,-0.0659,0.0884,0.2328,0.0030,Down
2017-09-30,289.9600,292.6000,275.4300,277.5300,37283500,664608000,-4.2868,-0.0434,-0.0659,0.0884,0.2328,0.0030,0.1223,Down
2017-09-29,311.4900,311.4900,272.3800,290.1200,71232100,711727000,-6.8606,-0.0659,0.0884,0.2328,0.0030,0.1223,0.0070,Down
2017-09-28,285.6500,413.0600,281.9700,310.6000,296921000,650661000,8.7345,0.0884,0.2328,0.0030,0.1223,0.0070,0.0427,Up
2017-09-27,231.2600,296.8700,229.8400,285.3600,130957000,525065000,23.3936,0.2328,0.0030,0.1223,0.0070,0.0427,0.1149,Up
2017-09-26,230.7000,234.5900,228.7400,231.4700,20525600,522161000,0.3338,0.0030,0.1223,0.0070,0.0427,0.1149,-0.0650,Up
2017-09-25,205.6500,233.6000,205.4100,230.7700,32460800,463963000,12.2149,0.1223,0.0070,0.0427,0.1149,-0.0650,-0.0023,Up
2017-09-24,204.0200,207.6900,199.5000,205.6300,15176600,458828000,0.7891,0.0070,0.0427,0.1149,-0.0650,-0.0023,-0.0252,Up
2017-09-23,195.5000,215.6400,192.2900,204.2100,29531600,438281000,4.4552,0.0427,0.1149,-0.0650,-0.0023,-0.0252,0.1090,Up
2017-09-22,175.5300,203.6700,174.9900,195.8400,43671100,392222000,11.5707,0.1149,-0.0650,-0.0023,-0.0252,0.1090,0.0100,Up
2017-09-21,187.2500,190.7800,174.8600,175.6500,17620100,417102000,-6.1949,-0.0650,-0.0023,-0.0252,0.1090,0.0100,-0.0475,Down
2017-09-20,186.9900,192.8400,183.2600,187.8600,12166600,415166000,0.4653,-0.0023,-0.0252,0.1090,0.0100,-0.0475,0.1396,Down
2017-09-19,193.4200,195.9500,182.8100,188.3000,19791200,428072000,-2.6471,-0.0252,0.1090,0.0100,-0.0475,0.1396,-0.1944,Down
2017-09-18,174.0100,193.1600,174.0100,193.1600,27678900,383846000,11.0051,0.1090,0.0100,-0.0475,0.1396,-0.1944,-0.0508,Up
2017-09-17,172.3000,177.4000,164.8100,174.1800,17358900,378861000,1.0911,0.0100,-0.0475,0.1396,-0.1944,-0.0508,-0.0048,Up
2017-09-16,181.1000,184.5300,165.5500,172.4600,22550100,396908000,-4.7708,-0.0475,0.1396,-0.1944,-0.0508,-0.0048,-0.0194,Down
2017-09-15,159.0800,183.4100,138.6900,181.0600,45620000,347512000,13.8169,0.1396,-0.1944,-0.0508,-0.0048,-0.0194,-0.0041,Up
2017-09-14,197.6800,204.7900,158.8300,158.8800,35524600,430379000,-19.6277,-0.1944,-0.0508,-0.0048,-0.0194,-0.0041,-0.0009,Down
2017-09-13,207.3400,208.1400,183.3300,197.2200,32634000,449957000,-4.8809,-0.0508,-0.0048,-0.0194,-0.0041,-0.0009,-0.1347,Down
2017-09-12,207.9000,221.4100,203.2700,207.7700,26344600,449686000,-0.0625,-0.0048,-0.0194,-0.0041,-0.0009,-0.1347,0.0012,Down
2017-09-11,212.1900,216.1600,205.6000,208.7700,22339400,457445000,-1.6118,-0.0194,-0.0041,-0.0009,-0.1347,0.0012,0.0887,Down
2017-09-10,213.3000,220.2200,195.8400,212.9100,26701400,458304000,-0.1828,-0.0041,-0.0009,-0.1347,0.0012,0.0887,0.0391,Down
2017-09-09,213.9500,215.7300,204.8700,213.7900,24960900,458172000,-0.0748,-0.0009,-0.1347,0.0012,0.0887,0.0391,-0.1605,Down
2017-09-08,247.4000,247.4000,206.1600,213.9900,30849900,528046000,-13.5044,-0.1347,0.0012,0.0887,0.0391,-0.1605,0.0239,Down
2017-09-07,247.8000,250.1500,236.8000,247.3100,27100600,527118000,-0.1977,0.0012,0.0887,0.0391,-0.1605,0.0239,-0.1674,Up
2017-09-06,227.8100,248.7100,225.6200,247.0100,29252500,482953000,8.4281,0.0887,0.0391,-0.1605,0.0239,-0.1674,0.0770,Up
2017-09-05,219.3600,234.4200,197.0600,226.8800,31113600,463446000,3.4282,0.0391,-0.1605,0.0239,-0.1674,0.0770,0.0429,Up
2017-09-04,260.6600,260.6600,199.7200,218.3400,41954600,548884000,-16.2357,-0.1605,0.0239,-0.1674,0.0770,0.0429,0.0050,Down
2017-09-03,254.7600,268.5400,242.5500,260.0900,34128900,534636000,2.0922,0.0239,-0.1674,0.0770,0.0429,0.0050,-0.0157,Up
2017-09-02,304.7200,307.8300,246.1900,254.0300,52498700,637301000,-16.6349,-0.1674,0.0770,0.0429,0.0050,-0.0157,0.0046,Down
2017-09-01,283.8100,308.7500,281.1000,305.1100,45352800,591510000,7.5050,0.0770,0.0429,0.0050,-0.0157,0.0046,-0.0722,Up
2017-08-31,272.1200,283.5800,268.8300,283.2900,26913900,565218000,4.1048,0.0429,0.0050,-0.0157,0.0046,-0.0722,0.2388,Up
2017-08-30,270.7400,279.5100,263.9100,271.6400,29396300,560403000,0.3324,0.0050,-0.0157,0.0046,-0.0722,0.2388,0.0427,Up
2017-08-29,274.6800,275.6800,265.9300,270.3000,28596800,566591000,-1.5946,-0.0157,0.0046,-0.0722,0.2388,0.0427,-0.0008,Down
2017-08-28,273.2200,278.3800,255.1100,274.6200,35210000,561634000,0.5124,0.0046,-0.0722,0.2388,0.0427,-0.0008,0.0026,Up
2017-08-27,292.7500,292.7500,265.3700,273.3700,35217900,599640000,-6.6200,-0.0722,0.2388,0.0427,-0.0008,0.0026,-0.0475,Down
2017-08-26,238.7200,294.6500,236.5100,294.6500,65866400,487257000,23.4291,0.2388,0.0427,-0.0008,0.0026,-0.0475,-0.0083,Up
2017-08-25,227.9000,256.8300,227.9000,237.8600,28281900,463553000,4.3703,0.0427,-0.0008,0.0026,-0.0475,-0.0083,0.0331,Up
2017-08-24,228.1200,231.4700,225.1300,228.1100,15371700,462350000,-0.0044,-0.0008,0.0026,-0.0475,-0.0083,0.0331,0.1608,Down
2017-08-23,227.1300,238.8000,224.9900,228.3000,19773800,458739000,0.5151,0.0026,-0.0475,-0.0083,0.0331,0.1608,-0.0380,Up
2017-08-22,239.6700,240.2400,209.2100,227.7100,26540900,482352000,-4.9902,-0.0475,-0.0083,0.0331,0.1608,-0.0380,-0.0360,Down
